#bias_lya*(1+beta_lya) beta_lya ap at alpha SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim kappa0 Lpar_auto Lper_auto bias_Si3 beta_Si3 bias_Si2a beta_Si2a bias_Si2b beta_Si2b bias_Si2c beta_Si2c bias_CIVa beta_CIVa chi2
-0.322557474567 1.66970585363 0.8 0.7 2.9 3.26 1.966 1.0 -0.0265095937214 0.650274311706 24.0797100071 0.0668299577636 -0.666666666667 300.0 4.0 4.0 -0.00358615790726 0.5 -0.00444831451159 0.5 -0.00344255740853 0.5 -0.00225051241279 0.5 -0.0199999998325 0.5 1627.55910905
-0.322702403607 1.66678315147 0.8 0.74 2.9 3.26 1.966 1.0 -0.0267031056998 0.649948053829 24.1280572786 0.0695300855824 -0.666666666667 300.0 4.0 4.0 -0.00353509518398 0.5 -0.00445136014569 0.5 -0.0034510583622 0.5 -0.00225100078508 0.5 -0.019999997403 0.5 1622.28917656
-0.322839220062 1.6650562849 0.8 0.78 2.9 3.26 1.966 1.0 -0.0268919477518 0.650785368047 24.1729296181 0.0719547047389 -0.666666666667 300.0 4.0 4.0 -0.00348747948764 0.5 -0.00445441286513 0.5 -0.00346101174425 0.5 -0.00224476021956 0.5 -0.0199999999998 0.5 1617.74138022
-0.322956336892 1.66433822872 0.8 0.82 2.9 3.26 1.966 1.0 -0.0270788277947 0.651318753238 24.210742866 0.0742159750544 -0.666666666667 300.0 4.0 4.0 -0.00344309552165 0.5 -0.00445938933569 0.5 -0.00347065170899 0.5 -0.0022427143088 0.5 -0.019999992465 0.5 1614.10144315
-0.323074778287 1.66365898745 0.8 0.86 2.9 3.26 1.966 1.0 -0.0272345608077 0.651155967933 24.2337415591 0.0764228709359 -0.666666666667 300.0 4.0 4.0 -0.00341050722553 0.5 -0.00446255507746 0.5 -0.00347971523365 0.5 -0.00223939705549 0.5 -0.0199999229176 0.5 1610.45392335
-0.323228009176 1.66185441134 0.8 0.9 2.9 3.26 1.966 1.0 -0.0273541331194 0.652913818981 24.2554877745 0.07895202638 -0.666666666667 300.0 4.0 4.0 -0.00338350686142 0.5 -0.00446198531117 0.5 -0.00348614800512 0.5 -0.00222915964235 0.5 -0.0199999792497 0.5 1606.48467626
-0.323382966336 1.66050169133 0.8 0.94 2.9 3.26 1.966 1.0 -0.0274236886901 0.653816768098 24.2630856939 0.0810547920619 -0.666666666667 300.0 4.0 4.0 -0.00337302243746 0.5 -0.00446081167836 0.5 -0.00349051535342 0.5 -0.00221964521356 0.5 -0.0199995983342 0.5 1602.64340233
-0.32348869773 1.65928099198 0.8 0.98 2.9 3.26 1.966 1.0 -0.027487282624 0.65575944288 24.2641531185 0.0829369496153 -0.666666666667 300.0 4.0 4.0 -0.0033724225589 0.5 -0.00446036453854 0.5 -0.00349463618887 0.5 -0.00221141539529 0.5 -0.0199999931331 0.5 1599.39275522
-0.323611904888 1.65861446383 0.8 1.02 2.9 3.26 1.966 1.0 -0.0275442008347 0.656057339126 24.2604729034 0.0847633714545 -0.666666666667 300.0 4.0 4.0 -0.00337039374325 0.5 -0.00445544392735 0.5 -0.00349340158315 0.5 -0.00219997556356 0.5 -0.0199999999065 0.5 1596.87073618
-0.323718407902 1.65821830333 0.8 1.06 2.9 3.26 1.966 1.0 -0.0275724758814 0.657255927938 24.2527321528 0.086336774428 -0.666666666667 300.0 4.0 4.0 -0.00337713896994 0.5 -0.00444928265962 0.5 -0.00349317010165 0.5 -0.00218945582799 0.5 -0.0199999515536 0.5 1594.99053152
-0.323818310241 1.65803396317 0.8 1.1 2.9 3.26 1.966 1.0 -0.0275945308831 0.657989440069 24.2368693487 0.0878109287973 -0.666666666667 300.0 4.0 4.0 -0.00338742252614 0.5 -0.00444303513254 0.5 -0.00348841362649 0.5 -0.00217561128628 0.5 -0.0199996608644 0.5 1593.59229957
-0.323898872942 1.65831279233 0.8 1.14 2.9 3.26 1.966 1.0 -0.0276286827967 0.658741624881 24.2262117592 0.0892005705623 -0.666666666667 300.0 4.0 4.0 -0.00339712775846 0.5 -0.00443756604016 0.5 -0.00348631510363 0.5 -0.00216492390783 0.5 -0.0199999929777 0.5 1592.51033293
-0.323972576092 1.65826498508 0.8 1.18 2.9 3.26 1.966 1.0 -0.0276760523383 0.658818679286 24.2171103393 0.0904606090414 -0.666666666667 300.0 4.0 4.0 -0.00339985939667 0.5 -0.00443037002996 0.5 -0.00348428484571 0.5 -0.00215859379185 0.5 -0.0199995103561 0.5 1591.57563586
-0.324057231111 1.65793715196 0.8 1.22 2.9 3.26 1.966 1.0 -0.027698830006 0.660065719296 24.2039054749 0.0919847172583 -0.666666666667 300.0 4.0 4.0 -0.0034107354933 0.5 -0.00442709706113 0.5 -0.0034803950099 0.5 -0.00214515871514 0.5 -0.0199999980471 0.5 1590.61612873
-0.324158296448 1.65729445357 0.8 1.26 2.9 3.26 1.966 1.0 -0.0277381244245 0.65979009397 24.2028734694 0.0935514409063 -0.666666666667 300.0 4.0 4.0 -0.00341736651939 0.5 -0.00441905329528 0.5 -0.00347895873173 0.5 -0.0021326332976 0.5 -0.0199999998745 0.5 1589.49960983
-0.324256144885 1.65630102226 0.8 1.3 2.9 3.26 1.966 1.0 -0.0277549567183 0.660644152125 24.1945383828 0.0951232452629 -0.666666666667 300.0 4.0 4.0 -0.00342713969806 0.5 -0.00441122383805 0.5 -0.00347420782681 0.5 -0.00212478019187 0.5 -0.0199997702 0.5 1588.1799591
-0.324326601771 1.65498439161 0.8 1.34 2.9 3.26 1.966 1.0 -0.0278158494651 0.660115980578 24.1982303644 0.0965142338664 -0.666666666667 300.0 4.0 4.0 -0.00342170436458 0.5 -0.0044079264562 0.5 -0.003473248245 0.5 -0.00211684760032 0.5 -0.0199999576266 0.5 1586.7137311
-0.3244171796 1.65368197279 0.8 1.38 2.9 3.26 1.966 1.0 -0.027836803079 0.660570760158 24.1935973237 0.0979192409735 -0.666666666667 300.0 4.0 4.0 -0.00342891799313 0.5 -0.00440462584611 0.5 -0.00346873918817 0.5 -0.00210894222159 0.5 -0.019998746238 0.5 1585.24035479
-0.324468946479 1.6523781482 0.8 1.42 2.9 3.26 1.966 1.0 -0.0278840853181 0.660369110498 24.193909872 0.0992441713925 -0.666666666667 300.0 4.0 4.0 -0.00341963525268 0.5 -0.00439884564445 0.5 -0.00347239978955 0.5 -0.00210521655533 0.5 -0.0199998259629 0.5 1583.92403404
-0.324560875241 1.65105617349 0.8 1.46 2.9 3.26 1.966 1.0 -0.027871222134 0.662667696658 24.1974479122 0.100533488806 -0.666666666667 300.0 4.0 4.0 -0.00342854716199 0.5 -0.00439434362326 0.5 -0.00346700413593 0.5 -0.00209399642377 0.5 -0.0199998420473 0.5 1582.90173553
-0.324614364666 1.65013137028 0.8 1.5 2.9 3.26 1.966 1.0 -0.0279098234326 0.660947465739 24.1943792037 0.101417449809 -0.666666666667 300.0 4.0 4.0 -0.00343107468994 0.5 -0.00439113289695 0.5 -0.0034686327523 0.5 -0.00209083249563 0.5 -0.0199997248606 0.5 1582.24797732
-0.322835956122 1.67274626246 0.825 0.7 2.9 3.26 1.966 1.0 -0.0268230233639 0.655451474744 24.1169670539 0.0720070662674 -0.666666666667 300.0 4.0 4.0 -0.00352932770365 0.5 -0.00443842375446 0.5 -0.00345249220115 0.5 -0.00205694435368 0.5 -0.0199999999951 0.5 1622.4545598
-0.322980103232 1.66992003835 0.825 0.74 2.9 3.26 1.966 1.0 -0.0270202460669 0.655453533518 24.1654800923 0.0746344446125 -0.666666666667 300.0 4.0 4.0 -0.00347914136419 0.5 -0.00444164561579 0.5 -0.00346190639435 0.5 -0.00205539120258 0.5 -0.0199999999795 0.5 1617.35219391
-0.323103336737 1.6680753273 0.825 0.78 2.9 3.26 1.966 1.0 -0.0272036346078 0.655043231728 24.2052476234 0.0768069107883 -0.666666666667 300.0 4.0 4.0 -0.00343157130587 0.5 -0.00444870072009 0.5 -0.00347461182701 0.5 -0.00206194820105 0.5 -0.0199992070292 0.5 1612.85783094
-0.323223215254 1.66724215422 0.825 0.82 2.9 3.26 1.966 1.0 -0.027377335773 0.656020992651 24.2403364995 0.0790872425542 -0.666666666667 300.0 4.0 4.0 -0.00339205945926 0.5 -0.00444837303517 0.5 -0.00347887946886 0.5 -0.00204917569626 0.5 -0.0199998155045 0.5 1609.12615635
-0.323352152569 1.66611394631 0.825 0.86 2.9 3.26 1.966 1.0 -0.0275163307941 0.656316301317 24.260239079 0.0813240585716 -0.666666666667 300.0 4.0 4.0 -0.00335845783232 0.5 -0.00445252429603 0.5 -0.00348759489172 0.5 -0.00204791603749 0.5 -0.0199999997558 0.5 1605.28008389
-0.323485478692 1.66434500549 0.825 0.9 2.9 3.26 1.966 1.0 -0.0276165922133 0.656971594594 24.2747296566 0.0834202022321 -0.666666666667 300.0 4.0 4.0 -0.00334405382877 0.5 -0.00445117428883 0.5 -0.00349266284946 0.5 -0.00204233769549 0.5 -0.0199999056436 0.5 1601.10981534
-0.323620932218 1.66248040216 0.825 0.94 2.9 3.26 1.966 1.0 -0.0276822163141 0.658043260498 24.2770117356 0.0855750276862 -0.666666666667 300.0 4.0 4.0 -0.00333878762692 0.5 -0.00445339992427 0.5 -0.00349605405989 0.5 -0.00203239184812 0.5 -0.0199996076938 0.5 1597.1501465
-0.323758205019 1.66103493955 0.825 0.98 2.9 3.26 1.966 1.0 -0.0277269233187 0.659165637534 24.2784457421 0.0874951176002 -0.666666666667 300.0 4.0 4.0 -0.00333919284305 0.5 -0.00444831750498 0.5 -0.0034964283123 0.5 -0.00202404969807 0.5 -0.0199999985042 0.5 1593.88796107
-0.323867257874 1.66041778238 0.825 1.02 2.9 3.26 1.966 1.0 -0.0277496030774 0.660661208224 24.2669711443 0.0891113795838 -0.666666666667 300.0 4.0 4.0 -0.00334986119599 0.5 -0.0044426394668 0.5 -0.00349638553354 0.5 -0.00201463901571 0.5 -0.0199999463871 0.5 1591.44198199
-0.323964036179 1.66009117081 0.825 1.06 2.9 3.26 1.966 1.0 -0.027776922636 0.661174169987 24.2555877534 0.0905734397546 -0.666666666667 300.0 4.0 4.0 -0.00335730590058 0.5 -0.00443862394524 0.5 -0.00349368918444 0.5 -0.00200274363346 0.5 -0.0199999793562 0.5 1589.69907006
