bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa chi2
-0.353458403985 1.64505167285 0.8 0.7 2.9 3.26 1.966 1.0 -0.028845536448 0.656315978433 24.2326719299 0.0879368545149 -0.666666666667 300.0 4.0 4.0 -0.00326234109256 0.5 1.0 -0.00409962058324 0.5 1.0 -0.00314442705008 0.5 1.0 -0.0019847382305 0.5 1.0 -0.015395889391 0.5 1.0 1304.75929079
-0.353599795333 1.64322626461 0.8 0.727586206897 2.9 3.26 1.966 1.0 -0.029001839105 0.657116235097 24.2673070359 0.0903959933362 -0.666666666667 300.0 4.0 4.0 -0.00323010056759 0.5 1.0 -0.00409732331569 0.5 1.0 -0.00315170134968 0.5 1.0 -0.00198105310395 0.5 1.0 -0.0153053671361 0.5 1.0 1301.44180987
-0.35373052108 1.6409083999 0.8 0.755172413793 2.9 3.26 1.966 1.0 -0.0291504431989 0.657358800613 24.3014161911 0.0927076955696 -0.666666666667 300.0 4.0 4.0 -0.00319815314631 0.5 1.0 -0.00409662701074 0.5 1.0 -0.00315868147742 0.5 1.0 -0.00197911683596 0.5 1.0 -0.0152203400319 0.5 1.0 1298.13729752
-0.353854012781 1.63942977101 0.8 0.78275862069 2.9 3.26 1.966 1.0 -0.0292961423554 0.657268419168 24.333234288 0.0947743679924 -0.666666666667 300.0 4.0 4.0 -0.00316780542649 0.5 1.0 -0.0040977727425 0.5 1.0 -0.00316417500176 0.5 1.0 -0.00197686159292 0.5 1.0 -0.0151358844459 0.5 1.0 1295.27928026
-0.353968937653 1.63864210954 0.8 0.810344827586 2.9 3.26 1.966 1.0 -0.0294387750917 0.657266072984 24.3602859605 0.0967091177592 -0.666666666667 300.0 4.0 4.0 -0.00313976607778 0.5 1.0 -0.00409915805838 0.5 1.0 -0.00316949663318 0.5 1.0 -0.00197407270796 0.5 1.0 -0.0150598932729 0.5 1.0 1292.79519159
-0.354086387329 1.63792102925 0.8 0.837931034483 2.9 3.26 1.966 1.0 -0.0295745230509 0.657432335108 24.3840527895 0.0986810837862 -0.666666666667 300.0 4.0 4.0 -0.00311433542483 0.5 1.0 -0.00410041512403 0.5 1.0 -0.00317481271054 0.5 1.0 -0.00197067723581 0.5 1.0 -0.0149907922219 0.5 1.0 1290.35471209
-0.354213022778 1.63687693047 0.8 0.865517241379 2.9 3.26 1.966 1.0 -0.02969694251 0.657772947431 24.4046023818 0.100751736238 -0.666666666667 300.0 4.0 4.0 -0.00309273539118 0.5 1.0 -0.00410128485883 0.5 1.0 -0.00317992887645 0.5 1.0 -0.00196666825642 0.5 1.0 -0.0149254231003 0.5 1.0 1287.72401333
-0.354345957217 1.63549658545 0.8 0.893103448276 2.9 3.26 1.966 1.0 -0.0298006111129 0.658281062458 24.4207851386 0.102861173639 -0.666666666667 300.0 4.0 4.0 -0.00307614826338 0.5 1.0 -0.00410151743879 0.5 1.0 -0.00318457050538 0.5 1.0 -0.00196213331796 0.5 1.0 -0.0148635682825 0.5 1.0 1284.91090403
-0.354452427628 1.63376052566 0.8 0.920689655172 2.9 3.26 1.966 1.0 -0.0298779365423 0.660302083915 24.4275159143 0.104981612054 -0.666666666667 300.0 4.0 4.0 -0.00306450540729 0.5 1.0 -0.0040993040725 0.5 1.0 -0.00318963368215 0.5 1.0 -0.00195446754705 0.5 1.0 -0.0148555036222 0.5 1.0 1282.08575747
-0.354575880386 1.63229114669 0.8 0.948275862069 2.9 3.26 1.966 1.0 -0.029943420106 0.661150979199 24.4343764957 0.106922349693 -0.666666666667 300.0 4.0 4.0 -0.00305707079341 0.5 1.0 -0.0040980923522 0.5 1.0 -0.00319225474722 0.5 1.0 -0.00194800364766 0.5 1.0 -0.0148173168673 0.5 1.0 1279.44238455
