bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa chi2
-0.357088762844 1.62393575054 0.5 1.05239307773 2.9 3.26 1.966 1.0 -0.0311082108421 0.678093990567 24.2783272129 0.156961637497 -0.666666666667 300.0 4.0 4.0 -0.00307014766703 0.5 1.0 -0.00386957695848 0.5 1.0 -0.00305069425526 0.5 1.0 -0.00204566747296 0.5 1.0 -0.0145577943465 0.5 1.0 1257.97737246
-0.357034494638 1.62441682417 0.505025125628 1.04933272833 2.9 3.26 1.966 1.0 -0.0310652180195 0.677626746881 24.2716785303 0.155978036935 -0.666666666667 300.0 4.0 4.0 -0.0030759358922 0.5 1.0 -0.00387073021066 0.5 1.0 -0.00304937785557 0.5 1.0 -0.00205200858829 0.5 1.0 -0.0145619607206 0.5 1.0 1258.22720369
-0.356974778212 1.6248982086 0.510050251256 1.04638287977 2.9 3.26 1.966 1.0 -0.0310180577057 0.677096420904 24.264935206 0.154876072402 -0.666666666667 300.0 4.0 4.0 -0.00308213397401 0.5 1.0 -0.00387224547675 0.5 1.0 -0.00304820669152 0.5 1.0 -0.00205876554705 0.5 1.0 -0.0145666361167 0.5 1.0 1258.5163016
-0.3569095276 1.62537377766 0.515075376884 1.04357038571 2.9 3.26 1.966 1.0 -0.0309665998748 0.676499842868 24.2581299762 0.153652195362 -0.666666666667 300.0 4.0 4.0 -0.00308874672847 0.5 1.0 -0.00387415149119 0.5 1.0 -0.00304720475352 0.5 1.0 -0.0020659444964 0.5 1.0 -0.0145718775758 0.5 1.0 1258.84702073
-0.356838712086 1.62583768207 0.520100502513 1.04093220973 2.9 3.26 1.966 1.0 -0.0309107795425 0.675834626827 24.2513057876 0.152304068553 -0.666666666667 300.0 4.0 4.0 -0.00309576755162 0.5 1.0 -0.00387647576721 0.5 1.0 -0.00304639685736 0.5 1.0 -0.00207354889609 0.5 1.0 -0.0145777067988 0.5 1.0 1259.22151025
-0.356762402555 1.62628384718 0.525125628141 1.03847709915 2.9 3.26 1.966 1.0 -0.0308506243732 0.675099202046 24.244508843 0.150831840704 -0.666666666667 300.0 4.0 4.0 -0.00310318309775 0.5 1.0 -0.00387923795977 0.5 1.0 -0.00304580526837 0.5 1.0 -0.00208157426477 0.5 1.0 -0.0145841704452 0.5 1.0 1259.64160541
-0.356680778885 1.62670773806 0.530150753769 1.03622284431 2.9 3.26 1.966 1.0 -0.0307864033442 0.674293393026 24.2378401625 0.14923836552 -0.666666666667 300.0 4.0 4.0 -0.00311091750534 0.5 1.0 -0.00388245903253 0.5 1.0 -0.00304545940724 0.5 1.0 -0.00209000721204 0.5 1.0 -0.0145912369882 0.5 1.0 1260.10895997
-0.356650496407 1.62602436151 0.535175879397 1.03437198746 2.9 3.26 1.966 1.0 -0.0307149956705 0.675372179938 24.2433119846 0.14841753075 -0.666666666667 300.0 4.0 4.0 -0.00311447063027 0.5 1.0 -0.00388463469719 0.5 1.0 -0.00304639679874 0.5 1.0 -0.00209567994519 0.5 1.0 -0.0145847448807 0.5 1.0 1260.62540237
-0.356502441677 1.62746739391 0.540201005025 1.03240203779 2.9 3.26 1.966 1.0 -0.0306465583809 0.672477772703 24.2251963788 0.145702568169 -0.666666666667 300.0 4.0 4.0 -0.00312713359167 0.5 1.0 -0.00389031831009 0.5 1.0 -0.0030455809556 0.5 1.0 -0.00210804644796 0.5 1.0 -0.0146073828191 0.5 1.0 1261.19039092
-0.356406339745 1.62779384837 0.545226130653 1.03087680137 2.9 3.26 1.966 1.0 -0.0305715799984 0.671474607022 24.2193674717 0.143773146624 -0.666666666667 300.0 4.0 4.0 -0.00313548390339 0.5 1.0 -0.00389496736293 0.5 1.0 -0.00304608617034 0.5 1.0 -0.0021175987299 0.5 1.0 -0.0146164630262 0.5 1.0 1261.80602381
-0.356332622321 1.62762855039 0.550251256281 1.02974782354 2.9 3.26 1.966 1.0 -0.0304872757613 0.670936184837 24.2197101973 0.142038223851 -0.666666666667 300.0 4.0 4.0 -0.00314327951332 0.5 1.0 -0.0038992550437 0.5 1.0 -0.00304735473548 0.5 1.0 -0.00212683674894 0.5 1.0 -0.0146148366142 0.5 1.0 1262.47194832
-0.356216552864 1.62816939523 0.55527638191 1.02884809026 2.9 3.26 1.966 1.0 -0.030411659365 0.669165397299 24.2126606051 0.139725818441 -0.666666666667 300.0 4.0 4.0 -0.00315145148632 0.5 1.0 -0.00390497759157 0.5 1.0 -0.00304825761471 0.5 1.0 -0.0021371603454 0.5 1.0 -0.0146286872461 0.5 1.0 1263.18712095
-0.356097665428 1.62866898881 0.560301507538 1.02836907763 2.9 3.26 1.966 1.0 -0.0303412787919 0.667501560982 24.2088581198 0.137394611876 -0.666666666667 300.0 4.0 4.0 -0.00315758326773 0.5 1.0 -0.00391163318963 0.5 1.0 -0.00305004520023 0.5 1.0 -0.00214799626199 0.5 1.0 -0.014643112564 0.5 1.0 1263.95039549
-0.355976240063 1.62906622121 0.565326633166 1.0283324197 2.9 3.26 1.966 1.0 -0.0302708908287 0.665939770371 24.206938796 0.135029066423 -0.666666666667 300.0 4.0 4.0 -0.00316236904399 0.5 1.0 -0.00391884569902 0.5 1.0 -0.00305235224567 0.5 1.0 -0.00215885549814 0.5 1.0 -0.0146585794002 0.5 1.0 1264.75977551
-0.3558742755 1.62878368541 0.570351758794 1.02885343505 2.9 3.26 1.966 1.0 -0.0301653522499 0.665773677714 24.1983532767 0.132913324521 -0.666666666667 300.0 4.0 4.0 -0.00317606464187 0.5 1.0 -0.00392520324718 0.5 1.0 -0.00305364239758 0.5 1.0 -0.00216908424274 0.5 1.0 -0.014671171914 0.5 1.0 1265.61165624
-0.355761962987 1.62884628178 0.575376884422 1.02978955459 2.9 3.26 1.966 1.0 -0.0300822502456 0.66455963028 24.1962782836 0.130598556137 -0.666666666667 300.0 4.0 4.0 -0.00318327354697 0.5 1.0 -0.00393249287293 0.5 1.0 -0.00305620636366 0.5 1.0 -0.00217971598934 0.5 1.0 -0.0146836529841 0.5 1.0 1266.50253192
-0.35564950597 1.62886413694 0.58040201005 1.0311497596 2.9 3.26 1.966 1.0 -0.0300001125324 0.663343459777 24.1950051265 0.128276404368 -0.666666666667 300.0 4.0 4.0 -0.00319000596074 0.5 1.0 -0.00394009662513 0.5 1.0 -0.00305910727243 0.5 1.0 -0.00219028876598 0.5 1.0 -0.0146964976932 0.5 1.0 1267.42758906
-0.355537704749 1.62884076873 0.585427135678 1.03301333472 2.9 3.26 1.966 1.0 -0.0299196595208 0.662136602453 24.1945464465 0.125964669039 -0.666666666667 300.0 4.0 4.0 -0.00319619132625 0.5 1.0 -0.00394797144312 0.5 1.0 -0.00306233926871 0.5 1.0 -0.0022007195516 0.5 1.0 -0.0147095853205 0.5 1.0 1268.3811446
-0.355427525097 1.62878103975 0.590452261307 1.03548728193 2.9 3.26 1.966 1.0 -0.0298418524381 0.660952647271 24.1949983343 0.123684085719 -0.666666666667 300.0 4.0 4.0 -0.00320169462702 0.5 1.0 -0.00395607332737 0.5 1.0 -0.00306590336518 0.5 1.0 -0.0022109137987 0.5 1.0 -0.0147228350854 0.5 1.0 1269.35681025
-0.355319853807 1.62869008216 0.595477386935 1.0386523252 2.9 3.26 1.966 1.0 -0.029767418659 0.659803745438 24.1963397199 0.121453824008 -0.666666666667 300.0 4.0 4.0 -0.00320646255553 0.5 1.0 -0.00396434622544 0.5 1.0 -0.00306978606282 0.5 1.0 -0.00222077679138 0.5 1.0 -0.0147360686849 0.5 1.0 1270.34691475
-0.355187662711 1.62848895426 0.600502512563 1.04273862774 2.9 3.26 1.966 1.0 -0.0297065715439 0.659876163357 24.205089129 0.119215851483 -0.666666666667 300.0 4.0 4.0 -0.00320162997245 0.5 1.0 -0.00397329196871 0.5 1.0 -0.00307583940954 0.5 1.0 -0.00223103230714 0.5 1.0 -0.0147680061949 0.5 1.0 1271.34361936
-0.355090358829 1.62846073395 0.605527638191 1.04790121235 2.9 3.26 1.966 1.0 -0.0296384593072 0.658515337599 24.2021107564 0.117191647589 -0.666666666667 300.0 4.0 4.0 -0.0032088720798 0.5 1.0 -0.00397991174593 0.5 1.0 -0.00307871900607 0.5 1.0 -0.00223737122609 0.5 1.0 -0.0147849361211 0.5 1.0 1272.33742214
-0.355022615402 1.62828956432 0.610552763819 1.0532839332 2.9 3.26 1.966 1.0 -0.0295735335182 0.656711034318 24.2062042036 0.115286193634 -0.666666666667 300.0 4.0 4.0 -0.00321534428087 0.5 1.0 -0.00398954008373 0.5 1.0 -0.00308323410062 0.5 1.0 -0.00224727435558 0.5 1.0 -0.0147743870921 0.5 1.0 1273.31939939
-0.354935910578 1.6281407543 0.615577889447 1.06051490826 2.9 3.26 1.966 1.0 -0.0295217833771 0.655850474609 24.2114893338 0.113481517752 -0.666666666667 300.0 4.0 4.0 -0.00321623433696 0.5 1.0 -0.00399782275234 0.5 1.0 -0.00308827654342 0.5 1.0 -0.00225464824523 0.5 1.0 -0.0147862055493 0.5 1.0 1274.2799434
-0.35485904814 1.62810012833 0.620603015075 1.06892114988 2.9 3.26 1.966 1.0 -0.0294801433476 0.654385514539 24.2099201251 0.111902188458 -0.666666666667 300.0 4.0 4.0 -0.00322039967915 0.5 1.0 -0.00400488292708 0.5 1.0 -0.00309220363114 0.5 1.0 -0.00225681496389 0.5 1.0 -0.0147951896483 0.5 1.0 1275.20725671
-0.354810194251 1.62810801644 0.625628140704 1.08156694163 2.9 3.26 1.966 1.0 -0.029455472233 0.653606837179 24.2264805489 0.110512205021 -0.666666666667 300.0 4.0 4.0 -0.00321389122629 0.5 1.0 -0.00401448688294 0.5 1.0 -0.00309910673515 0.5 1.0 -0.00226423672379 0.5 1.0 -0.0147862685258 0.5 1.0 1276.08898226
-0.356559414565 1.61440351439 0.630653266332 2.65624232257 2.9 3.26 1.966 1.0 -0.0307146787661 0.666743379949 24.3434485216 0.143084555786 -0.666666666667 300.0 4.0 4.0 -0.00310485978214 0.5 1.0 -0.00395482446954 0.5 1.0 -0.00311921092943 0.5 1.0 -0.00207265230194 0.5 1.0 -0.0145818476854 0.5 1.0 1261.11074087
-0.35655650643 1.61380940995 0.63567839196 2.64625373919 2.9 3.26 1.966 1.0 -0.0307057642614 0.666597782375 24.3457738705 0.142946325795 -0.666666666667 300.0 4.0 4.0 -0.00310589402392 0.5 1.0 -0.00395583917625 0.5 1.0 -0.00312166122154 0.5 1.0 -0.00207198855133 0.5 1.0 -0.0145885850728 0.5 1.0 1261.54656423
-0.355890063123 1.61866687679 0.640703517588 1.85450590585 2.9 3.26 1.966 1.0 -0.0301510959655 0.661657936671 24.2886708302 0.129172238505 -0.666666666667 300.0 4.0 4.0 -0.00316746802242 0.5 1.0 -0.00398936957881 0.5 1.0 -0.00312259490295 0.5 1.0 -0.00214120470298 0.5 1.0 -0.0146334942182 0.5 1.0 1264.02599926
