bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa chi2
-0.355958686274 1.65406980986 1.08281657554 0.5 2.9 3.26 1.966 1.0 -0.0311258279495 0.698237978445 24.447826406 0.132233164356 -0.666666666667 300.0 4.0 4.0 -0.00299497694965 0.5 1.0 -0.00399647134392 0.5 1.0 -0.00321492094785 0.5 1.0 -0.0013758271057 0.5 1.0 -0.0146943169878 0.5 1.0 1249.13710684
-0.355958118872 1.65435976377 1.08089656638 0.505025125628 2.9 3.26 1.966 1.0 -0.0311224430751 0.698097867864 24.4452246531 0.132194963354 -0.666666666667 300.0 4.0 4.0 -0.00299611588865 0.5 1.0 -0.0039952577433 0.5 1.0 -0.00321326003637 0.5 1.0 -0.00136089020546 0.5 1.0 -0.0146963876124 0.5 1.0 1249.41438757
-0.355965511816 1.65525999756 1.07903300924 0.510050251256 2.9 3.26 1.966 1.0 -0.0311421697966 0.696668136613 24.4336230315 0.132263426825 -0.666666666667 300.0 4.0 4.0 -0.00300208543405 0.5 1.0 -0.0039944329518 0.5 1.0 -0.00320917315982 0.5 1.0 -0.00134386166907 0.5 1.0 -0.0146723329169 0.5 1.0 1249.72489663
-0.355963900699 1.65554803476 1.07718884605 0.515075376884 2.9 3.26 1.966 1.0 -0.0311384149639 0.696585404026 24.4312894834 0.132222890495 -0.666666666667 300.0 4.0 4.0 -0.00300313308098 0.5 1.0 -0.00399321700608 0.5 1.0 -0.00320761914366 0.5 1.0 -0.00132972298541 0.5 1.0 -0.014677487483 0.5 1.0 1250.06804563
-0.35596181852 1.65585458086 1.07537556256 0.520100502513 2.9 3.26 1.966 1.0 -0.0311347826393 0.696509765617 24.4288908202 0.132181865188 -0.666666666667 300.0 4.0 4.0 -0.00300424355434 0.5 1.0 -0.00399189288559 0.5 1.0 -0.00320616740355 0.5 1.0 -0.00131595452662 0.5 1.0 -0.01468406215 0.5 1.0 1250.44357625
-0.355959896867 1.6561997517 1.07362337654 0.525125628141 2.9 3.26 1.966 1.0 -0.0311341970134 0.696408017513 24.4270561904 0.132155564538 -0.666666666667 300.0 4.0 4.0 -0.00300471473 0.5 1.0 -0.00399065169963 0.5 1.0 -0.00320484345963 0.5 1.0 -0.00130273897044 0.5 1.0 -0.0146900084796 0.5 1.0 1250.85096922
-0.355958083404 1.65656926638 1.07195648561 0.530150753769 2.9 3.26 1.966 1.0 -0.0311363714507 0.696296989277 24.42572923 0.132146006996 -0.666666666667 300.0 4.0 4.0 -0.00300463617417 0.5 1.0 -0.00398960594511 0.5 1.0 -0.00320363880052 0.5 1.0 -0.00129033041258 0.5 1.0 -0.0146961006639 0.5 1.0 1251.28882899
-0.355956208297 1.65696295099 1.07038684825 0.535175879397 2.9 3.26 1.966 1.0 -0.0311415016761 0.696171703163 24.4249237833 0.132153218911 -0.666666666667 300.0 4.0 4.0 -0.00300397769337 0.5 1.0 -0.00398868633775 0.5 1.0 -0.0032025094564 0.5 1.0 -0.00127884436343 0.5 1.0 -0.0147019928793 0.5 1.0 1251.75508569
-0.355954457774 1.65738088415 1.06891383457 0.540201005025 2.9 3.26 1.966 1.0 -0.0311494139428 0.696037397207 24.4245760536 0.132178048967 -0.666666666667 300.0 4.0 4.0 -0.00300280213103 0.5 1.0 -0.00398789875122 0.5 1.0 -0.00320151723926 0.5 1.0 -0.00126828346854 0.5 1.0 -0.0147073061202 0.5 1.0 1252.24787353
-0.355953035889 1.65782302589 1.0675478216 0.545226130653 2.9 3.26 1.966 1.0 -0.0311599647192 0.695896116305 24.4246488823 0.132220640127 -0.666666666667 300.0 4.0 4.0 -0.00300116450202 0.5 1.0 -0.00398720992443 0.5 1.0 -0.00320067707319 0.5 1.0 -0.00125872875167 0.5 1.0 -0.0147120805973 0.5 1.0 1252.76467696
