bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa qso_metal_boost chi2
-0.353235444132 1.70221180334 1.11024439838 0.5 2.9 3.26 1.966 1.0 -0.0271767065886 0.795508077448 23.8081312361 0.0863552045504 -0.666666666667 300.0 4.0 4.0 3.65401308363 0.97076 -0.793895317659 4.0 4.0 0.53 0.289 4.757725122 0.573623615163 0.0 inf 300.0 -0.00368775042202 0.5 1.0 -0.00342199297755 0.5 1.0 -0.00297287135814 0.5 1.0 -0.00127160458987 0.5 1.0 -0.0255435067861 0.5 1.0 1.0 3869.64685256
-0.353233556902 1.7027350933 1.1086330311 0.505025125628 2.9 3.26 1.966 1.0 -0.0271772414643 0.795269481911 23.8044243931 0.0863088503908 -0.666666666667 300.0 4.0 4.0 3.65349946874 0.97076 -0.794020029377 4.0 4.0 0.53 0.289 4.75818242533 0.572913469285 0.0 inf 300.0 -0.00368956810959 0.5 1.0 -0.00342167557169 0.5 1.0 -0.00297176463346 0.5 1.0 -0.0012598508821 0.5 1.0 -0.0255527927536 0.5 1.0 1.0 3870.25217765
-0.353231472913 1.70329353168 1.10706728669 0.510050251256 2.9 3.26 1.966 1.0 -0.0271793290829 0.795030621001 23.8009515422 0.0862718316578 -0.666666666667 300.0 4.0 4.0 3.65294746849 0.97076 -0.79413733537 4.0 4.0 0.53 0.289 4.75867169781 0.572149455047 0.0 inf 300.0 -0.00369111924442 0.5 1.0 -0.00342136370016 0.5 1.0 -0.00297070890402 0.5 1.0 -0.00124845273792 0.5 1.0 -0.0255633500537 0.5 1.0 1.0 3870.91244987
-0.353229291733 1.7038858799 1.10555381115 0.515075376884 2.9 3.26 1.966 1.0 -0.0271830390167 0.794792587052 23.7977336369 0.086245534481 -0.666666666667 300.0 4.0 4.0 3.65235746373 0.97076 -0.794241719355 4.0 4.0 0.53 0.289 4.75919208664 0.571333072266 0.0 inf 300.0 -0.00369238817943 0.5 1.0 -0.00342105906833 0.5 1.0 -0.00296970880657 0.5 1.0 -0.00123746602066 0.5 1.0 -0.0255748678356 0.5 1.0 1.0 3871.62703422
-0.353227120628 1.70450988246 1.10410353626 0.520100502513 2.9 3.26 1.966 1.0 -0.0271884840368 0.794556356538 23.7948115168 0.0862323266445 -0.666666666667 300.0 4.0 4.0 3.65173181358 0.97076 -0.794327862691 4.0 4.0 0.53 0.289 4.75974091001 0.57046792497 0.0 inf 300.0 -0.00369334693123 0.5 1.0 -0.0034207626256 0.5 1.0 -0.00296877148602 0.5 1.0 -0.00122697772611 0.5 1.0 -0.0255873449949 0.5 1.0 1.0 3872.39431712
-0.353225045855 1.70516297542 1.10272232044 0.525125628141 2.9 3.26 1.966 1.0 -0.0271956314086 0.794323062875 23.7921750067 0.0862330950336 -0.666666666667 300.0 4.0 4.0 3.65107181684 0.97076 -0.794403352477 4.0 4.0 0.53 0.289 4.76031516024 0.569556663062 0.0 inf 300.0 -0.00369401468288 0.5 1.0 -0.00342047366746 0.5 1.0 -0.00296789855665 0.5 1.0 -0.00121703615521 0.5 1.0 -0.0256005534631 0.5 1.0 1.0 3873.2122971
-0.353223191825 1.70584151107 1.10142068708 0.530150753769 2.9 3.26 1.966 1.0 -0.0272044970595 0.794094072047 23.7898354895 0.0862496686797 -0.666666666667 300.0 4.0 4.0 3.65037957223 0.97076 -0.794470226184 4.0 4.0 0.53 0.289 4.76091037231 0.568603207739 0.0 inf 300.0 -0.00369439330975 0.5 1.0 -0.00342019151336 0.5 1.0 -0.00296709438741 0.5 1.0 -0.0012077245929 0.5 1.0 -0.0256142871437 0.5 1.0 1.0 3874.07824773
-0.353221685051 1.70654145387 1.10021020808 0.535175879397 2.9 3.26 1.966 1.0 -0.0272150970025 0.793871136827 23.7878076265 0.0862839088422 -0.666666666667 300.0 4.0 4.0 3.64965769318 0.97076 -0.794525096753 4.0 4.0 0.53 0.289 4.76152020446 0.567612380893 0.0 inf 300.0 -0.0036944802507 0.5 1.0 -0.00341991603628 0.5 1.0 -0.00296636324619 0.5 1.0 -0.00119913469616 0.5 1.0 -0.025628311836 0.5 1.0 1.0 3874.98892329
-0.353220659156 1.70725845917 1.09910221885 0.540201005025 2.9 3.26 1.966 1.0 -0.0272274199295 0.793656140324 23.7860998914 0.0863375602216 -0.666666666667 300.0 4.0 4.0 3.64890858096 0.97076 -0.794563033419 4.0 4.0 0.53 0.289 4.76213889546 0.566588816166 0.0 inf 300.0 -0.00369427797195 0.5 1.0 -0.0034196469111 0.5 1.0 -0.0029657083008 0.5 1.0 -0.00119135564966 0.5 1.0 -0.0256423701381 0.5 1.0 1.0 3875.94063445
-0.353220300628 1.707986276 1.09811913151 0.545226130653 2.9 3.26 1.966 1.0 -0.0272414768704 0.793451592893 23.784732217 0.0864132502031 -0.666666666667 300.0 4.0 4.0 3.64813466731 0.97076 -0.79458353632 4.0 4.0 0.53 0.289 4.76275724988 0.565537998223 0.0 inf 300.0 -0.00369378880153 0.5 1.0 -0.00341938248784 0.5 1.0 -0.00296513687455 0.5 1.0 -0.00118456401996 0.5 1.0 -0.0256561086871 0.5 1.0 1.0 3876.9286172
