#bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv Lpar_auto Lper_auto bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si3 beta_Si3 alpha_Si3 bias_Si2a beta_Si2a alpha_Si2a bias_Si2b beta_Si2b alpha_Si2b bias_Si2c beta_Si2c alpha_Si2c bias_CIVa beta_CIVa alpha_CIVa qso_metal_boost chi2
-0.34955552007 1.7158378969 0.8 0.7 2.9 3.26 1.966 1.0 -0.0244193198042 0.735418360776 23.2992667844 0.0245592895167 -0.666666666667 300.0 4.0 4.0 3.60620051769 0.97076 -0.811701885199 4.0 4.0 0.53 0.289 4.8167546126 0.502590857985 0.0 inf 300.0 -0.00406640522187 0.5 1.0 -0.0035537421855 0.5 1.0 -0.00286590109487 0.5 1.0 -0.00173654172468 0.5 1.0 -0.0295358909308 0.5 1.0 1.0 3962.03229818
-0.349807873445 1.71118078792 0.8 0.727586206897 2.9 3.26 1.966 1.0 -0.0246228356162 0.73633817712 23.3831390805 0.0281052892262 -0.666666666667 300.0 4.0 4.0 3.60885699906 0.97076 -0.807933593885 4.0 4.0 0.53 0.289 4.81249557625 0.508299596114 0.0 inf 300.0 -0.0040054924986 0.5 1.0 -0.00355368924451 0.5 1.0 -0.0028719948552 0.5 1.0 -0.00173009463539 0.5 1.0 -0.0290191935034 0.5 1.0 1.0 3958.30288803
-0.35005094932 1.70596257546 0.8 0.755172413793 2.9 3.26 1.966 1.0 -0.0248076681273 0.73725109373 23.4596089499 0.0315830969033 -0.666666666667 300.0 4.0 4.0 3.61339641514 0.97076 -0.804701699353 4.0 4.0 0.53 0.289 4.80627267735 0.516174458209 0.0 inf 300.0 -0.00394971678298 0.5 1.0 -0.00355345134829 0.5 1.0 -0.00287765410695 0.5 1.0 -0.00172337480491 0.5 1.0 -0.0285012400507 0.5 1.0 1.0 3953.33008262
-0.350267725417 1.70103010678 0.8 0.78275862069 2.9 3.26 1.966 1.0 -0.0249705939917 0.738253180315 23.5229604006 0.0348554107455 -0.666666666667 300.0 4.0 4.0 3.61919199609 0.97076 -0.802359770601 4.0 4.0 0.53 0.289 4.7989613213 0.525165957568 0.0 inf 300.0 -0.00390233547488 0.5 1.0 -0.00355255497797 0.5 1.0 -0.00288278731364 0.5 1.0 -0.00171618844716 0.5 1.0 -0.0280434537295 0.5 1.0 1.0 3947.83111922
-0.350456894239 1.69651314991 0.8 0.810344827586 2.9 3.26 1.966 1.0 -0.0251139450653 0.739544376041 23.5718961645 0.0379991731396 -0.666666666667 300.0 4.0 4.0 3.62561563547 0.97076 -0.801007548061 4.0 4.0 0.53 0.289 4.79113442698 0.534534412145 0.0 inf 300.0 -0.0038632108264 0.5 1.0 -0.00354901938526 0.5 1.0 -0.00288987367652 0.5 1.0 -0.00170892908387 0.5 1.0 -0.0276575312924 0.5 1.0 1.0 3942.13123034
-0.350661062281 1.69204659054 0.8 0.837931034483 2.9 3.26 1.966 1.0 -0.0252502419981 0.741720988874 23.6286185273 0.0412389448138 -0.666666666667 300.0 4.0 4.0 3.63148419488 0.97076 -0.800290445239 4.0 4.0 0.53 0.289 4.78200450202 0.543090429556 0.0 inf 300.0 -0.0038242180446 0.5 1.0 -0.00355382745601 0.5 1.0 -0.00289199045625 0.5 1.0 -0.00170403292065 0.5 1.0 -0.0273461722386 0.5 1.0 1.0 3936.3032122
-0.350840549098 1.68759002911 0.8 0.865517241379 2.9 3.26 1.966 1.0 -0.0253408134562 0.742753259702 23.6517508954 0.0441004331856 -0.666666666667 300.0 4.0 4.0 3.63776921604 0.97076 -0.800555576316 4.0 4.0 0.53 0.289 4.77331146179 0.552463529679 0.0 inf 300.0 -0.00380384577001 0.5 1.0 -0.00354696953431 0.5 1.0 -0.00289690824284 0.5 1.0 -0.00169199172543 0.5 1.0 -0.0269780330071 0.5 1.0 1.0 3930.46689327
-0.351024807958 1.6833707685 0.8 0.893103448276 2.9 3.26 1.966 1.0 -0.0254198427564 0.744488798735 23.6758359712 0.0469524567408 -0.666666666667 300.0 4.0 4.0 3.64265582333 0.97076 -0.800784970937 4.0 4.0 0.53 0.289 4.76426214227 0.559988239508 0.0 inf 300.0 -0.00378702929201 0.5 1.0 -0.00354455566263 0.5 1.0 -0.002900798423 0.5 1.0 -0.00168359801304 0.5 1.0 -0.026700428609 0.5 1.0 1.0 3924.94421098
-0.351201904924 1.67980801269 0.8 0.920689655172 2.9 3.26 1.966 1.0 -0.025479163076 0.745463675076 23.6898339336 0.0494622168717 -0.666666666667 300.0 4.0 4.0 3.64624240193 0.97076 -0.800974890078 4.0 4.0 0.53 0.289 4.75606816313 0.565902502578 0.0 inf 300.0 -0.00377860593598 0.5 1.0 -0.00354060520125 0.5 1.0 -0.00290567455506 0.5 1.0 -0.0016764233742 0.5 1.0 -0.0264512336484 0.5 1.0 1.0 3920.12026903
-0.351363345393 1.67710540188 0.8 0.948275862069 2.9 3.26 1.966 1.0 -0.0255262525769 0.74681945648 23.693997514 0.0517983139613 -0.666666666667 300.0 4.0 4.0 3.64826999757 0.97076 -0.801306999284 4.0 4.0 0.53 0.289 4.74904013514 0.569708891216 0.0 inf 300.0 -0.00377662659314 0.5 1.0 -0.00353774974902 0.5 1.0 -0.00290781897491 0.5 1.0 -0.00166785764921 0.5 1.0 -0.0262535286498 0.5 1.0 1.0 3916.21372971
-0.351510499353 1.67524273392 0.8 0.975862068966 2.9 3.26 1.966 1.0 -0.0255660608686 0.74800045711 23.6908176317 0.0539151500551 -0.666666666667 300.0 4.0 4.0 3.6491611462 0.97076 -0.801605370115 4.0 4.0 0.53 0.289 4.74335608347 0.571888384016 0.0 inf 300.0 -0.00377977712752 0.5 1.0 -0.00353446559102 0.5 1.0 -0.00290917485398 0.5 1.0 -0.0016590067403 0.5 1.0 -0.0260976599049 0.5 1.0 1.0 3913.18338615
-0.351645647476 1.6739784105 0.8 1.00344827586 2.9 3.26 1.966 1.0 -0.0256028440056 0.749016140385 23.6833726697 0.0558905764895 -0.666666666667 300.0 4.0 4.0 3.64947553239 0.97076 -0.801843023695 4.0 4.0 0.53 0.289 4.73881380988 0.573119048306 0.0 inf 300.0 -0.00378605183636 0.5 1.0 -0.00353069348488 0.5 1.0 -0.00290983744669 0.5 1.0 -0.00164981228476 0.5 1.0 -0.025977939606 0.5 1.0 1.0 3910.81105143
-0.351771379626 1.67302441868 0.8 1.03103448276 2.9 3.26 1.966 1.0 -0.0256378631109 0.74988582291 23.6739364388 0.057783558859 -0.666666666667 300.0 4.0 4.0 3.64972878207 0.97076 -0.802010486017 4.0 4.0 0.53 0.289 4.73511600918 0.574061635427 0.0 inf 300.0 -0.00379407096977 0.5 1.0 -0.00352641224795 0.5 1.0 -0.00290987181778 0.5 1.0 -0.00164031873712 0.5 1.0 -0.025885863353 0.5 1.0 1.0 3908.83998945
-0.351889640964 1.67214620804 0.8 1.05862068966 2.9 3.26 1.966 1.0 -0.0256710144465 0.750629501851 23.6639346356 0.0596283611955 -0.666666666667 300.0 4.0 4.0 3.65027865103 0.97076 -0.802123144741 4.0 4.0 0.53 0.289 4.73198427892 0.575196734053 0.0 inf 300.0 -0.00380294885557 0.5 1.0 -0.00352166012939 0.5 1.0 -0.00290934350238 0.5 1.0 -0.00163064586345 0.5 1.0 -0.025813532086 0.5 1.0 1.0 3907.05381579
-0.35200192712 1.67118049057 0.8 1.08620689655 2.9 3.26 1.966 1.0 -0.0257023208094 0.751269213317 23.6543920663 0.0614466854847 -0.666666666667 300.0 4.0 4.0 3.65133684072 0.97076 -0.802202533726 4.0 4.0 0.53 0.289 4.72918339957 0.576828114439 0.0 inf 300.0 -0.00381196796232 0.5 1.0 -0.00351652906663 0.5 1.0 -0.00290835196662 0.5 1.0 -0.00162093323122 0.5 1.0 -0.0257546808647 0.5 1.0 1.0 3905.29273682
-0.352109557087 1.67002568974 0.8 1.11379310345 2.9 3.26 1.966 1.0 -0.0257323828773 0.751828666829 23.6461520038 0.0632555824598 -0.666666666667 300.0 4.0 4.0 3.65300285075 0.97076 -0.802250883262 4.0 4.0 0.53 0.289 4.72652732777 0.579119747403 0.0 inf 300.0 -0.00382045587939 0.5 1.0 -0.00351114520054 0.5 1.0 -0.00290702877013 0.5 1.0 -0.00161131064859 0.5 1.0 -0.025704354387 0.5 1.0 1.0 3903.44965836
-0.352213803588 1.66863746883 0.8 1.14137931034 2.9 3.26 1.966 1.0 -0.0257625404094 0.752330258936 23.6399766108 0.0650698212638 -0.666666666667 300.0 4.0 4.0 3.65526985545 0.97076 -0.802257224535 4.0 4.0 0.53 0.289 4.72389401315 0.582101954734 0.0 inf 300.0 -0.00382773949166 0.5 1.0 -0.00350565442175 0.5 1.0 -0.00290552941274 0.5 1.0 -0.00160188741332 0.5 1.0 -0.0256589060182 0.5 1.0 1.0 3901.47136274
-0.352315969931 1.66702335025 0.8 1.16896551724 2.9 3.26 1.966 1.0 -0.0257944954258 0.752792572855 23.6365012634 0.0668991784341 -0.666666666667 300.0 4.0 4.0 3.6580172371 0.97076 -0.80219854166 4.0 4.0 0.53 0.289 4.72123724432 0.585663413288 0.0 inf 300.0 -0.00383322698965 0.5 1.0 -0.00350020784776 0.5 1.0 -0.00290401075556 0.5 1.0 -0.00159275574439 0.5 1.0 -0.025615210465 0.5 1.0 1.0 3899.35904323
-0.352416931927 1.66523520292 0.8 1.19655172414 2.9 3.26 1.966 1.0 -0.0258292398993 0.753224190535 23.6357844838 0.0687393231323 -0.666666666667 300.0 4.0 4.0 3.66101783832 0.97076 -0.802065002732 4.0 4.0 0.53 0.289 4.7185882902 0.5895588951 0.0 inf 300.0 -0.00383673450843 0.5 1.0 -0.00349493925595 0.5 1.0 -0.00290258522983 0.5 1.0 -0.00158400431221 0.5 1.0 -0.025570515098 0.5 1.0 1.0 3897.16521769
-0.352517237692 1.66335869993 0.8 1.22413793103 2.9 3.26 1.966 1.0 -0.0258675245433 0.75362895483 23.6376674996 0.0705771846751 -0.666666666667 300.0 4.0 4.0 3.66398137168 0.97076 -0.801859966242 4.0 4.0 0.53 0.289 4.71602295566 0.593459704989 0.0 inf 300.0 -0.00383825349877 0.5 1.0 -0.00348996444178 0.5 1.0 -0.0029013385611 0.5 1.0 -0.00157570831391 0.5 1.0 -0.0255228753952 0.5 1.0 1.0 3894.97863626
-0.352616763896 1.66148589759 0.8 1.25172413793 2.9 3.26 1.966 1.0 -0.0259088413199 0.75400546059 23.6414691376 0.0723877475493 -0.666666666667 300.0 4.0 4.0 3.66662293399 0.97076 -0.801617100935 4.0 4.0 0.53 0.289 4.71363252599 0.597033944278 0.0 inf 300.0 -0.00383818819828 0.5 1.0 -0.003485353227 0.5 1.0 -0.00290029278073 0.5 1.0 -0.00156792935502 0.5 1.0 -0.0254711025315 0.5 1.0 1.0 3892.89837465
-0.352714834183 1.65969539663 0.8 1.27931034483 2.9 3.26 1.966 1.0 -0.0259519410681 0.754350718635 23.6463317735 0.0741433178471 -0.666666666667 300.0 4.0 4.0 3.66873309392 0.97076 -0.801381885547 4.0 4.0 0.53 0.289 4.71148906233 0.600027626886 0.0 inf 300.0 -0.00383712453268 0.5 1.0 -0.00348113180634 0.5 1.0 -0.00289942889329 0.5 1.0 -0.00156070569481 0.5 1.0 -0.0254155659713 0.5 1.0 1.0 3891.0079184
-0.352810638894 1.65803950224 0.8 1.30689655172 2.9 3.26 1.966 1.0 -0.0259953138145 0.754665608379 23.6514708477 0.0758203891841 -0.666666666667 300.0 4.0 4.0 3.67020956448 0.97076 -0.801198454904 4.0 4.0 0.53 0.289 4.70963004981 0.602307682244 0.0 inf 300.0 -0.00383562119142 0.5 1.0 -0.0034772851834 0.5 1.0 -0.00289870441777 0.5 1.0 -0.00155404235048 0.5 1.0 -0.0253567903919 0.5 1.0 1.0 3889.36231044
-0.352903137541 1.6565471937 0.8 1.33448275862 2.9 3.26 1.966 1.0 -0.0260373885924 0.754950265238 23.6562017952 0.0774012726085 -0.666666666667 300.0 4.0 4.0 3.67106163796 0.97076 -0.801098452249 4.0 4.0 0.53 0.289 4.70806396977 0.603864287246 0.0 inf 300.0 -0.00383419104889 0.5 1.0 -0.00347376523799 0.5 1.0 -0.00289806059914 0.5 1.0 -0.00154791877726 0.5 1.0 -0.0252964732834 0.5 1.0 1.0 3887.98476416
-0.353019344019 1.65512401046 0.8 1.36206896552 2.9 3.26 1.966 1.0 -0.0260776669154 0.755737507335 23.6672022624 0.0790463033701 -0.666666666667 300.0 4.0 4.0 3.67028724759 0.97076 -0.801395075334 4.0 4.0 0.53 0.289 4.70708356336 0.603674924112 0.0 inf 300.0 -0.00383024711975 0.5 1.0 -0.00346715880601 0.5 1.0 -0.00290135396276 0.5 1.0 -0.00154112979378 0.5 1.0 -0.0251889731609 0.5 1.0 1.0 3886.87542854
-0.353101769876 1.65398496826 0.8 1.38965517241 2.9 3.26 1.966 1.0 -0.0261129545277 0.755886733735 23.6690595965 0.0803984216776 -0.666666666667 300.0 4.0 4.0 3.67027233995 0.97076 -0.801495509329 4.0 4.0 0.53 0.289 4.70605347977 0.604163481738 0.0 inf 300.0 -0.00383062611507 0.5 1.0 -0.00346399489019 0.5 1.0 -0.00290061884678 0.5 1.0 -0.00153595401779 0.5 1.0 -0.0251332958736 0.5 1.0 1.0 3886.01974481
-0.353177740526 1.65303852232 0.8 1.41724137931 2.9 3.26 1.966 1.0 -0.0261450064555 0.756024113321 23.6696216155 0.0816412616552 -0.666666666667 300.0 4.0 4.0 3.66998925999 0.97076 -0.801671135529 4.0 4.0 0.53 0.289 4.70522634582 0.604273864671 0.0 inf 300.0 -0.00383149066461 0.5 1.0 -0.00346103989351 0.5 1.0 -0.00289991794079 0.5 1.0 -0.00153118162862 0.5 1.0 -0.0250835291875 0.5 1.0 1.0 3885.39665421
-0.35324639456 1.65225803915 0.8 1.44482758621 2.9 3.26 1.966 1.0 -0.0261726575307 0.756148285593 23.6688441825 0.082773136407 -0.666666666667 300.0 4.0 4.0 3.6695735667 0.97076 -0.8018995303 4.0 4.0 0.53 0.289 4.7045465094 0.604152177411 0.0 inf 300.0 -0.00383323612682 0.5 1.0 -0.0034581110715 0.5 1.0 -0.00289903768639 0.5 1.0 -0.00152673288455 0.5 1.0 -0.0250430075096 0.5 1.0 1.0 3884.97929001
-0.353307474287 1.65163415329 0.8 1.4724137931 2.9 3.26 1.966 1.0 -0.0261963468544 0.75626911625 23.6668480838 0.0838020805975 -0.666666666667 300.0 4.0 4.0 3.6691332466 0.97076 -0.802153528687 4.0 4.0 0.53 0.289 4.70394953614 0.603918690238 0.0 inf 300.0 -0.00383564645506 0.5 1.0 -0.00345521413621 0.5 1.0 -0.00289802730638 0.5 1.0 -0.00152258199486 0.5 1.0 -0.0250128856171 0.5 1.0 1.0 3884.73548766
-0.353361182238 1.65113601952 0.8 1.5 2.9 3.26 1.966 1.0 -0.026216233013 0.756394822174 23.6637947798 0.0847393528829 -0.666666666667 300.0 4.0 4.0 3.66876264274 0.97076 -0.802414380695 4.0 4.0 0.53 0.289 4.70336679102 0.603688578823 0.0 inf 300.0 -0.00383862665359 0.5 1.0 -0.00345232687482 0.5 1.0 -0.00289687936652 0.5 1.0 -0.00151868684735 0.5 1.0 -0.0249932489177 0.5 1.0 1.0 3884.62615964
-0.350610217101 1.72358846366 0.855555555556 0.7 2.9 3.26 1.966 1.0 -0.0254508218141 0.752534961416 23.462973035 0.0428083175039 -0.666666666667 300.0 4.0 4.0 3.60434952371 0.97076 -0.805454231479 4.0 4.0 0.53 0.289 4.82554608932 0.50104321091 0.0 inf 300.0 -0.00390640956006 0.5 1.0 -0.00352134051538 0.5 1.0 -0.00289316092692 0.5 1.0 -0.00127945203294 0.5 1.0 -0.0285917912694 0.5 1.0 1.0 3951.50307426
