bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si2c beta_Si2c alpha_Si2c bias_Si3 beta_Si3 alpha_Si3 bias_Si2b beta_Si2b alpha_Si2b bias_Si2a beta_Si2a alpha_Si2a qso_metal_boost chi2
-0.331628889938 1.78306144486 0.5 0.922802771009 2.9 3.26 1.966 1.0 0.0361215980772 0.586140061683 61.4974880074 -0.300132486027 -0.666666666667 300.0 3.87084 0.97076 -0.931345555673 4.0 4.0 0.53 0.289 5.92272488546 0.392411205214 0.0 inf 300.0 -2.66698205149e-05 0.5 1.0 -0.0068218370771 0.5 1.0 -0.00405049585855 0.5 1.0 -0.00126818325931 0.5 1.0 1.0 2582.22513459
-0.331397867913 1.7822847783 0.505025125628 0.920331353502 2.9 3.26 1.966 1.0 0.0361397256027 0.586237210717 61.460371184 -0.302043052873 -0.666666666667 300.0 3.87084 0.97076 -0.931194707721 4.0 4.0 0.53 0.289 5.91619439291 0.392995525773 0.0 inf 300.0 -3.7724791644e-05 0.5 1.0 -0.00681858263243 0.5 1.0 -0.00405003977492 0.5 1.0 -0.001265769103 0.5 1.0 1.0 2582.10867473
-0.331172057949 1.78153648713 0.510050251256 0.917792619837 2.9 3.26 1.966 1.0 0.0361482055756 0.586227547187 61.4219349187 -0.303917952698 -0.666666666667 300.0 3.87084 0.97076 -0.931051589007 4.0 4.0 0.53 0.289 5.90959877761 0.393578843341 0.0 inf 300.0 -4.94134875682e-05 0.5 1.0 -0.00681615918495 0.5 1.0 -0.00404897277002 0.5 1.0 -0.00126367740379 0.5 1.0 1.0 2582.01427014
-0.330919187689 1.78100228555 0.515075376884 0.915189046161 2.9 3.26 1.966 1.0 0.0361649742046 0.58633617803 61.3821097808 -0.305994489795 -0.666666666667 300.0 3.87084 0.97076 -0.93090709521 4.0 4.0 0.53 0.289 5.90317521164 0.394002904233 0.0 inf 300.0 -6.11048298466e-05 0.5 1.0 -0.00681196048848 0.5 1.0 -0.00404857290554 0.5 1.0 -0.00126126712505 0.5 1.0 1.0 2581.94520157
-0.330660718584 1.78061877345 0.520100502513 0.912511834991 2.9 3.26 1.966 1.0 0.0361770962985 0.586443759933 61.34022633 -0.308113281423 -0.666666666667 300.0 3.87084 0.97076 -0.930742232527 4.0 4.0 0.53 0.289 5.89694376358 0.394319283028 0.0 inf 300.0 -7.34017739439e-05 0.5 1.0 -0.00680752530735 0.5 1.0 -0.00404803774559 0.5 1.0 -0.00125903319286 0.5 1.0 1.0 2581.90496899
-0.330394605523 1.78043227778 0.525125628141 0.909782286572 2.9 3.26 1.966 1.0 0.0361854191425 0.586530216126 61.2961867043 -0.3102840136 -0.666666666667 300.0 3.87084 0.97076 -0.930560918525 4.0 4.0 0.53 0.289 5.89100827571 0.394482169087 0.0 inf 300.0 -8.66405943793e-05 0.5 1.0 -0.00680280460747 0.5 1.0 -0.00404737982088 0.5 1.0 -0.0012568382262 0.5 1.0 1.0 2581.89704475
-0.330122426934 1.78044879569 0.530150753769 0.907002555709 2.9 3.26 1.966 1.0 0.0361891127926 0.586586002572 61.2504075561 -0.312491291111 -0.666666666667 300.0 3.87084 0.97076 -0.930387076364 4.0 4.0 0.53 0.289 5.88535092957 0.394493261468 0.0 inf 300.0 -0.000100349208934 0.5 1.0 -0.00679786751355 0.5 1.0 -0.00404652585234 0.5 1.0 -0.00125485909922 0.5 1.0 1.0 2581.92491492
-0.329844656251 1.78069990494 0.535175879397 0.904172226281 2.9 3.26 1.966 1.0 0.0361880587135 0.586595802768 61.2028318475 -0.314728218884 -0.666666666667 300.0 3.87084 0.97076 -0.930228125756 4.0 4.0 0.53 0.289 5.88005299469 0.394324993809 0.0 inf 300.0 -0.000114487841623 0.5 1.0 -0.00679262166577 0.5 1.0 -0.00404545665578 0.5 1.0 -0.00125308901913 0.5 1.0 1.0 2581.99203531
-0.329562068455 1.7812492198 0.540201005025 0.901287146748 2.9 3.26 1.966 1.0 0.0361820611365 0.586555594477 61.1535229601 -0.316985035268 -0.666666666667 300.0 3.87084 0.97076 -0.930091868944 4.0 4.0 0.53 0.289 5.87523508107 0.393933916512 0.0 inf 300.0 -0.000128670495194 0.5 1.0 -0.00678694366431 0.5 1.0 -0.00404414450801 0.5 1.0 -0.00125147022227 0.5 1.0 1.0 2582.10177019
-0.329274995593 1.78215589669 0.545226130653 0.898364089038 2.9 3.26 1.966 1.0 0.0361711130956 0.586476767761 61.1026161094 -0.319256447405 -0.666666666667 300.0 3.87084 0.97076 -0.92997283043 4.0 4.0 0.53 0.289 5.87101164725 0.393279003873 0.0 inf 300.0 -0.000142861779575 0.5 1.0 -0.00678075306607 0.5 1.0 -0.00404256725127 0.5 1.0 -0.00124997967448 0.5 1.0 1.0 2582.25739845
