bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si2c beta_Si2c alpha_Si2c bias_Si3 beta_Si3 alpha_Si3 bias_Si2b beta_Si2b alpha_Si2b bias_Si2a beta_Si2a alpha_Si2a qso_metal_boost chi2
-0.353299238798 2.24703523314 1.13730620022 0.5 2.9 3.26 1.966 1.0 0.0250261024975 0.532655344077 62.6206281522 -0.142938251865 -0.666666666667 300.0 3.87084 0.97076 -0.931426437441 4.0 4.0 0.53 0.289 7.07749604954 0.182300916431 0.0 inf 300.0 0.000391165008123 0.5 1.0 -0.00688507074037 0.5 1.0 -0.00393132463631 0.5 1.0 -0.00141343775352 0.5 1.0 1.0 2593.11173679
-0.353362184311 2.25049656659 1.13596333775 0.505025125628 2.9 3.26 1.966 1.0 0.0249802378541 0.532797661144 62.5947743878 -0.142349808019 -0.666666666667 300.0 3.87084 0.97076 -0.931569076393 4.0 4.0 0.53 0.289 7.08379012459 0.180559644206 0.0 inf 300.0 0.000397437872906 0.5 1.0 -0.00688656613933 0.5 1.0 -0.00393068133688 0.5 1.0 -0.00141224980776 0.5 1.0 1.0 2593.39221382
-0.353427745842 2.25419865402 1.134645308 0.510050251256 2.9 3.26 1.966 1.0 0.024934257707 0.53295332648 62.5708918466 -0.141727536267 -0.666666666667 300.0 3.87084 0.97076 -0.931707692521 4.0 4.0 0.53 0.289 7.09056713215 0.178682874909 0.0 inf 300.0 0.000403637090037 0.5 1.0 -0.00688799215624 0.5 1.0 -0.0039300508895 0.5 1.0 -0.00141121167075 0.5 1.0 1.0 2593.69264608
-0.353496089036 2.25813436637 1.13337383741 0.515075376884 2.9 3.26 1.966 1.0 0.0248884044958 0.533123782924 62.5491937699 -0.141069554698 -0.666666666667 300.0 3.87084 0.97076 -0.93184372153 4.0 4.0 0.53 0.289 7.09781851553 0.176674250215 0.0 inf 300.0 0.000409647205401 0.5 1.0 -0.00688938179361 0.5 1.0 -0.00392946393463 0.5 1.0 -0.00141030218305 0.5 1.0 1.0 2594.01261459
-0.353566824944 2.26229651089 1.13215251561 0.520100502513 2.9 3.26 1.966 1.0 0.0248430047835 0.533309544972 62.5296242078 -0.140379574115 -0.666666666667 300.0 3.87084 0.97076 -0.931982412407 4.0 4.0 0.53 0.289 7.10551001439 0.174540919249 0.0 inf 300.0 0.000415452971691 0.5 1.0 -0.00689079606471 0.5 1.0 -0.00392897534672 0.5 1.0 -0.00140946880537 0.5 1.0 1.0 2594.35117238
-0.353639577467 2.26667704925 1.1309811164 0.525125628141 2.9 3.26 1.966 1.0 0.0247984234779 0.533511492367 62.5122908847 -0.139660616534 -0.666666666667 300.0 3.87084 0.97076 -0.932119290793 4.0 4.0 0.53 0.289 7.11362062687 0.172287280887 0.0 inf 300.0 0.000421057982764 0.5 1.0 -0.00689224036264 0.5 1.0 -0.00392859724367 0.5 1.0 -0.00140872153052 0.5 1.0 1.0 2594.70761457
-0.353714221858 2.27124020912 1.12987553544 0.530150753769 2.9 3.26 1.966 1.0 0.0247552378177 0.533730152448 62.4976342799 -0.138912211371 -0.666666666667 300.0 3.87084 0.97076 -0.932247837292 4.0 4.0 0.53 0.289 7.12211317806 0.169925233639 0.0 inf 300.0 0.000426384367235 0.5 1.0 -0.00689368236416 0.5 1.0 -0.00392830132126 0.5 1.0 -0.00140812691554 0.5 1.0 1.0 2595.08074275
-0.35379012998 2.27596425325 1.12884034906 0.535175879397 2.9 3.26 1.966 1.0 0.0247140299544 0.533965640473 62.4856830354 -0.13813885043 -0.666666666667 300.0 3.87084 0.97076 -0.932375881454 4.0 4.0 0.53 0.289 7.13094088961 0.167464169368 0.0 inf 300.0 0.000431423370687 0.5 1.0 -0.00689516660511 0.5 1.0 -0.00392810327053 0.5 1.0 -0.00140768553062 0.5 1.0 1.0 2595.46911912
-0.353866692707 2.28084028146 1.12787893722 0.540201005025 2.9 3.26 1.966 1.0 0.0246752015015 0.534219217563 62.4764123675 -0.137345490502 -0.666666666667 300.0 3.87084 0.97076 -0.932504768184 4.0 4.0 0.53 0.289 7.14006140405 0.164911283574 0.0 inf 300.0 0.000436157246737 0.5 1.0 -0.00689675200341 0.5 1.0 -0.00392804897495 0.5 1.0 -0.00140735688959 0.5 1.0 1.0 2595.87123676
-0.353943420319 2.28584213201 1.12699974744 0.545226130653 2.9 3.26 1.966 1.0 0.024639292636 0.534491680485 62.4700331643 -0.13653579375 -0.666666666667 300.0 3.87084 0.97076 -0.932630531341 4.0 4.0 0.53 0.289 7.14942046209 0.162279388024 0.0 inf 300.0 0.000440546248509 0.5 1.0 -0.00689845964254 0.5 1.0 -0.00392815451036 0.5 1.0 -0.00140714553682 0.5 1.0 1.0 2596.28525595
