#bias_lya*(1+beta_lya) beta_lya ap at alpha_lya SigmaNL_perp 1+f bao_amp bias_lls beta_lls L0_lls bias_gamma bias_prim lambda_uv bias_qso growth_rate drp Lpar_cross Lper_cross qso_evol_0 qso_evol_1 sigma_velo_lorentz qso_rad_strength qso_rad_asymmetry qso_rad_lifetime qso_rad_decrease bias_Si2c beta_Si2c alpha_Si2c bias_Si3 beta_Si3 alpha_Si3 bias_Si2b beta_Si2b alpha_Si2b bias_Si2a beta_Si2a alpha_Si2a qso_metal_boost chi2
-0.332986042385 2.36297191192 0.8 0.7 2.9 3.26 1.966 1.0 0.0305263084692 0.567662120497 59.9695595702 -0.285448462511 -0.666666666667 300.0 3.87084 0.97076 -0.946094227781 4.0 4.0 0.53 0.289 6.91356989394 0.0893727954594 0.0 inf 300.0 0.000116120009234 0.5 1.0 -0.00669501634396 0.5 1.0 -0.00395534207792 0.5 1.0 -0.00133703832772 0.5 1.0 1.0 2624.29596321
-0.333518394695 2.34074693485 0.8 0.727586206897 2.9 3.26 1.966 1.0 0.0302967526898 0.568447671078 60.0942100087 -0.281062308382 -0.666666666667 300.0 3.87084 0.97076 -0.942739529014 4.0 4.0 0.53 0.289 6.89696337755 0.0988769648339 0.0 inf 300.0 0.000117592445494 0.5 1.0 -0.00667232219179 0.5 1.0 -0.00394610358013 0.5 1.0 -0.00135137004411 0.5 1.0 1.0 2624.55158386
-0.334084538397 2.30831726794 0.8 0.755172413793 2.9 3.26 1.966 1.0 0.030109120225 0.568786814796 60.2133708972 -0.277131157066 -0.666666666667 300.0 3.87084 0.97076 -0.939411799902 4.0 4.0 0.53 0.289 6.86488588075 0.113799167428 0.0 inf 300.0 0.000119135873748 0.5 1.0 -0.00664995146518 0.5 1.0 -0.0039378998214 0.5 1.0 -0.00136495150993 0.5 1.0 1.0 2623.69058725
-0.334639190162 2.26953507091 0.8 0.78275862069 2.9 3.26 1.966 1.0 0.0299923047015 0.56861915805 60.323905335 -0.273809466185 -0.666666666667 300.0 3.87084 0.97076 -0.936650188797 4.0 4.0 0.53 0.289 6.82124865935 0.132349156851 0.0 inf 300.0 0.000118934719607 0.5 1.0 -0.00663004226551 0.5 1.0 -0.00393282560832 0.5 1.0 -0.0013766243184 0.5 1.0 1.0 2621.90378288
-0.333916780743 2.20194624382 0.8 0.810344827586 2.9 3.26 1.966 1.0 0.0304905558618 0.569710340039 60.4475158912 -0.279715885745 -0.666666666667 300.0 3.87084 0.97076 -0.93553848344 4.0 4.0 0.53 0.289 6.70431627236 0.163719721544 0.0 inf 300.0 0.000128514510144 0.5 1.0 -0.00662978119234 0.5 1.0 -0.00393622032852 0.5 1.0 -0.00138344125209 0.5 1.0 1.0 2619.48399379
-0.334041320797 2.15486100337 0.8 0.837931034483 2.9 3.26 1.966 1.0 0.0306960899127 0.569655586111 60.5277451765 -0.280059649257 -0.666666666667 300.0 3.87084 0.97076 -0.934447586505 4.0 4.0 0.53 0.289 6.63382779908 0.187448552639 0.0 inf 300.0 0.000137025979754 0.5 1.0 -0.00663122439469 0.5 1.0 -0.00394329702473 0.5 1.0 -0.00138669287134 0.5 1.0 1.0 2616.76584959
-0.334131398328 2.11250670178 0.8 0.865517241379 2.9 3.26 1.966 1.0 0.0309552226481 0.569531475687 60.5982452823 -0.280602455868 -0.666666666667 300.0 3.87084 0.97076 -0.933889201998 4.0 4.0 0.53 0.289 6.56791950515 0.209281460909 0.0 inf 300.0 0.000148238142158 0.5 1.0 -0.00663865394375 0.5 1.0 -0.00395332599474 0.5 1.0 -0.00138862838101 0.5 1.0 1.0 2614.05683348
-0.334219261124 2.07874061058 0.8 0.893103448276 2.9 3.26 1.966 1.0 0.031223649251 0.569550037989 60.6557599533 -0.280964153583 -0.666666666667 300.0 3.87084 0.97076 -0.933814719999 4.0 4.0 0.53 0.289 6.51352745096 0.227079350758 0.0 inf 300.0 0.000161580819014 0.5 1.0 -0.00665146456891 0.5 1.0 -0.00396510377102 0.5 1.0 -0.00138960987598 0.5 1.0 1.0 2611.65097261
-0.334340009785 2.05600236535 0.8 0.920689655172 2.9 3.26 1.966 1.0 0.0314639562453 0.569746471053 60.6967633203 -0.28072375588 -0.666666666667 300.0 3.87084 0.97076 -0.934259484589 4.0 4.0 0.53 0.289 6.47595190434 0.239228881114 0.0 inf 300.0 0.000176802807894 0.5 1.0 -0.00667070439153 0.5 1.0 -0.00397882838475 0.5 1.0 -0.00138799707286 0.5 1.0 1.0 2609.77051424
-0.334511706706 2.04423443464 0.8 0.948275862069 2.9 3.26 1.966 1.0 0.0316459596048 0.570097214743 60.7264391107 -0.279584867281 -0.666666666667 300.0 3.87084 0.97076 -0.934876317853 4.0 4.0 0.53 0.289 6.45715416584 0.245283830939 0.0 inf 300.0 0.000192505850872 0.5 1.0 -0.00669120800902 0.5 1.0 -0.00399087977878 0.5 1.0 -0.00138574842143 0.5 1.0 1.0 2608.48473682
