# BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-scale-sky BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-sigma-sky BB-cf_z_0_10-0-broadband_sky-scale-sky BB-cf_z_0_10-0-broadband_sky-sigma-sky L0_hcd alpha_CIV(eff) alpha_LYA alpha_SiII(1190) alpha_SiII(1193) alpha_SiII(1260) alpha_SiIII(1207) ap at bao_amp beta_CIV(eff) beta_LYA beta_SiII(1190) beta_SiII(1193) beta_SiII(1260) beta_SiIII(1207) beta_hcd bias_eta_CIV(eff) bias_eta_LYA bias_eta_SiII(1190) bias_eta_SiII(1193) bias_eta_SiII(1260) bias_eta_SiIII(1207) bias_hcd dnl_arinyo_av dnl_arinyo_bv dnl_arinyo_kp dnl_arinyo_kv dnl_arinyo_q1 growth_rate par-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 par-binsize-cf_z_0_10 per-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 per-binsize-cf_z_0_10 sigmaNL_par sigmaNL_per chi2
1.335928e-02 3.395791e+01 9.422306e-03 3.122787e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.000000e-01 1.000000e+00 2.700000e-01 1.688266e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.505653e-01 -5.231106e-03 -2.012953e-01 -3.006794e-03 -2.131166e-03 -3.101707e-03 -4.517205e-03 -5.344331e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.256467e+03
1.335860e-02 3.396132e+01 9.422353e-03 3.123216e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.148148e-01 1.000000e+00 2.700000e-01 1.686985e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.502965e-01 -5.208367e-03 -2.012578e-01 -3.003638e-03 -2.126727e-03 -3.100835e-03 -4.519851e-03 -5.341596e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.253695e+03
1.335788e-02 3.396408e+01 9.422274e-03 3.123610e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.296296e-01 1.000000e+00 2.700000e-01 1.685942e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.500484e-01 -5.197579e-03 -2.012261e-01 -3.000285e-03 -2.122883e-03 -3.100143e-03 -4.522386e-03 -5.339208e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.251229e+03
1.335713e-02 3.396620e+01 9.422108e-03 3.123978e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.444445e-01 1.000000e+00 2.700000e-01 1.685060e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.498206e-01 -5.196847e-03 -2.011978e-01 -2.997168e-03 -2.119083e-03 -3.099515e-03 -4.524567e-03 -5.336939e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.249009e+03
1.335643e-02 3.396820e+01 9.421956e-03 3.124327e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.592592e-01 1.000000e+00 2.700000e-01 1.684266e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.496149e-01 -5.203994e-03 -2.011712e-01 -2.994379e-03 -2.115372e-03 -3.099010e-03 -4.526450e-03 -5.334606e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.246969e+03
1.335577e-02 3.396999e+01 9.421809e-03 3.124666e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.740741e-01 1.000000e+00 2.700000e-01 1.683505e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.494289e-01 -5.216747e-03 -2.011447e-01 -2.991853e-03 -2.111716e-03 -3.098565e-03 -4.527947e-03 -5.332050e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.245060e+03
1.335526e-02 3.397172e+01 9.421645e-03 3.125015e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.888889e-01 1.000000e+00 2.700000e-01 1.682738e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.492597e-01 -5.232954e-03 -2.011178e-01 -2.989169e-03 -2.108620e-03 -3.098231e-03 -4.529204e-03 -5.329191e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.243243e+03
1.335473e-02 3.397327e+01 9.421540e-03 3.125347e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.037037e-01 1.000000e+00 2.700000e-01 1.681942e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.491066e-01 -5.250689e-03 -2.010899e-01 -2.987116e-03 -2.105039e-03 -3.097902e-03 -4.529912e-03 -5.325985e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.241492e+03
1.335426e-02 3.397476e+01 9.421468e-03 3.125676e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.185185e-01 1.000000e+00 2.700000e-01 1.681105e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.489647e-01 -5.268308e-03 -2.010610e-01 -2.985260e-03 -2.101512e-03 -3.097632e-03 -4.530262e-03 -5.322454e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.239792e+03
1.336084e-02 3.396564e+01 9.419045e-03 3.126896e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.333333e-01 1.000000e+00 2.700000e-01 1.680075e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 6.488559e-01 -5.265278e-03 -2.010259e-01 -2.983808e-03 -2.098335e-03 -3.096096e-03 -4.531152e-03 -5.319189e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 6.369840e+00 3.240000e+00 3.238137e+03
