# BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-scale-sky BB-cf_LYA_in_LYA_LYA_in_LYB_z_0_10-0-broadband_sky-sigma-sky BB-cf_z_0_10-0-broadband_sky-scale-sky BB-cf_z_0_10-0-broadband_sky-sigma-sky L0_hcd alpha_CIV(eff) alpha_LYA alpha_QSO alpha_SiII(1190) alpha_SiII(1193) alpha_SiII(1260) alpha_SiIII(1207) ap at bao_amp beta_CIV(eff) beta_LYA beta_QSO beta_SiII(1190) beta_SiII(1193) beta_SiII(1260) beta_SiIII(1207) beta_hcd bias_eta_CIV(eff) bias_eta_LYA bias_eta_QSO bias_eta_SiII(1190) bias_eta_SiII(1193) bias_eta_SiII(1260) bias_eta_SiIII(1207) bias_hcd dnl_arinyo_av dnl_arinyo_bv dnl_arinyo_kp dnl_arinyo_kv dnl_arinyo_q1 drp_QSO growth_rate par-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 par-binsize-cf_z_0_10 par-binsize-xcf_LYA_in_LYB_z_0_10 par-binsize-xcf_z_0_10 per-binsize-cf_LYA_in_LYA_LYA_in_LYB_z_0_10 per-binsize-cf_z_0_10 per-binsize-xcf_LYA_in_LYB_z_0_10 per-binsize-xcf_z_0_10 qso_rad_asymmetry qso_rad_decrease qso_rad_lifetime qso_rad_strength sigmaNL_par sigmaNL_per sigma_velo_lorentz_QSO chi2
1.322844e-02 3.403223e+01 9.276947e-03 3.133418e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.000000e-01 1.000000e+00 2.700000e-01 1.717130e+00 2.652460e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.117412e-01 -4.948776e-03 -2.026952e-01 1.000000e+00 -2.706910e-03 -1.312860e-03 -2.670207e-03 -3.724441e-03 -5.211860e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.044006e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.457755e-01 6.369840e+00 3.240000e+00 6.979138e+00 9.798640e+03
1.323030e-02 3.403612e+01 9.279551e-03 3.133911e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.148148e-01 1.000000e+00 2.700000e-01 1.714273e+00 2.650506e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.113126e-01 -4.922768e-03 -2.026002e-01 1.000000e+00 -2.702289e-03 -1.308165e-03 -2.667118e-03 -3.727326e-03 -5.204644e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.041773e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.496087e-01 6.369840e+00 3.240000e+00 6.974398e+00 9.792874e+03
1.323221e-02 3.403950e+01 9.282187e-03 3.134377e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.296296e-01 1.000000e+00 2.700000e-01 1.711542e+00 2.648411e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.108644e-01 -4.907171e-03 -2.025075e-01 1.000000e+00 -2.697850e-03 -1.303515e-03 -2.664070e-03 -3.729922e-03 -5.197421e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.038084e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.534975e-01 6.369840e+00 3.240000e+00 6.969846e+00 9.787165e+03
1.323436e-02 3.404283e+01 9.284881e-03 3.134839e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.444445e-01 1.000000e+00 2.700000e-01 1.708890e+00 2.646191e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.104259e-01 -4.900660e-03 -2.024151e-01 1.000000e+00 -2.693711e-03 -1.298820e-03 -2.660882e-03 -3.732132e-03 -5.190041e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.034181e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.574422e-01 6.369840e+00 3.240000e+00 6.965492e+00 9.781522e+03
1.323665e-02 3.404626e+01 9.287620e-03 3.135294e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.592592e-01 1.000000e+00 2.700000e-01 1.706334e+00 2.643928e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.099826e-01 -4.901111e-03 -2.023255e-01 1.000000e+00 -2.689953e-03 -1.294318e-03 -2.657725e-03 -3.733971e-03 -5.182559e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.030052e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.613631e-01 6.369840e+00 3.240000e+00 6.961320e+00 9.775981e+03
1.324057e-02 3.404694e+01 9.291086e-03 3.135570e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.740741e-01 1.000000e+00 2.700000e-01 1.703673e+00 2.641535e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.093111e-01 -4.918088e-03 -2.022112e-01 1.000000e+00 -2.687190e-03 -1.289955e-03 -2.656856e-03 -3.735321e-03 -5.177155e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.015897e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.653866e-01 6.369840e+00 3.240000e+00 6.957073e+00 9.770598e+03
1.324183e-02 3.404867e+01 9.293175e-03 3.136018e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 8.888889e-01 1.000000e+00 2.700000e-01 1.701297e+00 2.639365e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.089456e-01 -4.927068e-03 -2.021283e-01 1.000000e+00 -2.684088e-03 -1.285876e-03 -2.653433e-03 -3.736720e-03 -5.169429e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.011954e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.690978e-01 6.369840e+00 3.240000e+00 6.953292e+00 9.765433e+03
1.324449e-02 3.405522e+01 9.295603e-03 3.136593e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.037037e-01 1.000000e+00 2.700000e-01 1.699067e+00 2.637338e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.084804e-01 -4.940533e-03 -2.020501e-01 1.000000e+00 -2.681935e-03 -1.282347e-03 -2.650690e-03 -3.738319e-03 -5.162422e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.010297e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.725819e-01 6.369840e+00 3.240000e+00 6.949676e+00 9.760545e+03
1.324684e-02 3.406088e+01 9.297784e-03 3.137122e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.185185e-01 1.000000e+00 2.700000e-01 1.696938e+00 2.635467e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.080644e-01 -4.954265e-03 -2.019761e-01 1.000000e+00 -2.679361e-03 -1.278393e-03 -2.648967e-03 -3.738647e-03 -5.155320e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 1.005306e-01 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.758661e-01 6.369840e+00 3.240000e+00 6.946060e+00 9.755979e+03
1.324841e-02 3.406430e+01 9.299475e-03 3.137584e+01 1.000000e+01 1.000000e+00 2.900000e+00 1.440000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 8.000000e-01 9.333333e-01 1.000000e+00 2.700000e-01 1.694915e+00 2.633753e-01 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01 7.077364e-01 -4.965644e-03 -2.019069e-01 1.000000e+00 -2.676746e-03 -1.274453e-03 -2.647051e-03 -3.738489e-03 -5.148092e-02 5.378000e-01 1.607000e+00 1.947000e+01 1.114540e+00 8.558000e-01 9.998682e-02 9.703862e-01 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 4.000000e+00 0.000000e+00 3.000000e+02 inf 6.789265e-01 6.369840e+00 3.240000e+00 6.942610e+00 9.751762e+03
