#           k/h    P           
   0.100000E-03   0.636709E+02
   0.102020E-03   0.649118E+02
   0.104081E-03   0.661769E+02
   0.106184E-03   0.674667E+02
   0.108329E-03   0.687815E+02
   0.110517E-03   0.701219E+02
   0.112750E-03   0.714885E+02
   0.115027E-03   0.728816E+02
   0.117351E-03   0.743019E+02
   0.119722E-03   0.757498E+02
   0.122140E-03   0.772258E+02
   0.124608E-03   0.787306E+02
   0.127125E-03   0.802647E+02
   0.129693E-03   0.818286E+02
   0.132313E-03   0.834230E+02
   0.134986E-03   0.850484E+02
   0.137713E-03   0.867054E+02
   0.140495E-03   0.883946E+02
   0.143333E-03   0.901167E+02
   0.146228E-03   0.918723E+02
   0.149182E-03   0.936620E+02
   0.152196E-03   0.954865E+02
   0.155271E-03   0.973465E+02
   0.158407E-03   0.992427E+02
   0.161607E-03   0.101176E+03
   0.164872E-03   0.103146E+03
   0.168203E-03   0.105155E+03
   0.171601E-03   0.107203E+03
   0.175067E-03   0.109291E+03
   0.178604E-03   0.111419E+03
   0.182212E-03   0.113589E+03
   0.185893E-03   0.115800E+03
   0.189648E-03   0.118055E+03
   0.193479E-03   0.120353E+03
   0.197388E-03   0.122696E+03
   0.201375E-03   0.125085E+03
   0.205443E-03   0.127520E+03
   0.209594E-03   0.130002E+03
   0.213828E-03   0.132532E+03
   0.218147E-03   0.135111E+03
   0.222554E-03   0.137741E+03
   0.227050E-03   0.140421E+03
   0.231637E-03   0.143153E+03
   0.236316E-03   0.145938E+03
   0.241090E-03   0.148777E+03
   0.245960E-03   0.151671E+03
   0.250929E-03   0.154621E+03
   0.255998E-03   0.157628E+03
   0.261170E-03   0.160693E+03
   0.266446E-03   0.163818E+03
   0.271828E-03   0.167003E+03
   0.277319E-03   0.170249E+03
   0.282922E-03   0.173558E+03
   0.288637E-03   0.176931E+03
   0.294468E-03   0.180370E+03
   0.300417E-03   0.183874E+03
   0.306485E-03   0.187446E+03
   0.312677E-03   0.191087E+03
   0.318993E-03   0.194798E+03
   0.325437E-03   0.198581E+03
   0.332012E-03   0.202436E+03
   0.338719E-03   0.206366E+03
   0.345561E-03   0.210371E+03
   0.352542E-03   0.214453E+03
   0.359664E-03   0.218614E+03
   0.366930E-03   0.222854E+03
   0.374342E-03   0.227176E+03
   0.381904E-03   0.231581E+03
   0.389619E-03   0.236070E+03
   0.397490E-03   0.240645E+03
   0.405520E-03   0.245308E+03
   0.413712E-03   0.250060E+03
   0.422070E-03   0.254902E+03
   0.430596E-03   0.259837E+03
   0.439295E-03   0.264867E+03
   0.448169E-03   0.269992E+03
   0.457222E-03   0.275215E+03
   0.466459E-03   0.280537E+03
   0.475882E-03   0.285960E+03
   0.485496E-03   0.291486E+03
   0.495303E-03   0.297117E+03
   0.505309E-03   0.302855E+03
   0.515517E-03   0.308702E+03
   0.525931E-03   0.314659E+03
   0.536556E-03   0.320728E+03
   0.547395E-03   0.326912E+03
   0.558453E-03   0.333213E+03
   0.569734E-03   0.339632E+03
   0.581244E-03   0.346172E+03
   0.592986E-03   0.352835E+03
   0.604965E-03   0.359623E+03
   0.617186E-03   0.366538E+03
   0.629654E-03   0.373582E+03
   0.642374E-03   0.380757E+03
   0.655350E-03   0.388066E+03
   0.668589E-03   0.395511E+03
   0.682096E-03   0.403094E+03
   0.695875E-03   0.410818E+03
   0.709933E-03   0.418684E+03
   0.724274E-03   0.426696E+03
   0.738906E-03   0.434855E+03
   0.753832E-03   0.443165E+03
   0.769061E-03   0.451627E+03
   0.784597E-03   0.460244E+03
   0.800447E-03   0.469019E+03
   0.816617E-03   0.477954E+03
   0.833114E-03   0.487052E+03
   0.849944E-03   0.496315E+03
   0.867114E-03   0.505745E+03
   0.884631E-03   0.515346E+03
   0.902501E-03   0.525120E+03
   0.920733E-03   0.535069E+03
   0.939333E-03   0.545196E+03
   0.958309E-03   0.555505E+03
   0.977668E-03   0.565997E+03
   0.997418E-03   0.576675E+03
   0.101757E-02   0.587543E+03
   0.103812E-02   0.598603E+03
   0.105910E-02   0.609857E+03
   0.108049E-02   0.621309E+03
   0.110232E-02   0.632961E+03
   0.112459E-02   0.644817E+03
   0.114730E-02   0.656878E+03
   0.117048E-02   0.669148E+03
   0.119413E-02   0.681630E+03
   0.121825E-02   0.694326E+03
   0.124286E-02   0.707238E+03
   0.126797E-02   0.720371E+03
   0.129358E-02   0.733727E+03
   0.131971E-02   0.747308E+03
   0.134637E-02   0.761118E+03
   0.137357E-02   0.775158E+03
   0.140132E-02   0.789433E+03
   0.142963E-02   0.803945E+03
   0.145851E-02   0.818696E+03
   0.148797E-02   0.833690E+03
   0.151803E-02   0.848930E+03
   0.154870E-02   0.864417E+03
   0.157998E-02   0.880155E+03
   0.161190E-02   0.896146E+03
   0.164446E-02   0.912392E+03
   0.167768E-02   0.928897E+03
   0.171158E-02   0.945662E+03
   0.174615E-02   0.962689E+03
   0.178143E-02   0.979982E+03
   0.181741E-02   0.997542E+03
   0.185413E-02   0.101537E+04
   0.189158E-02   0.103347E+04
   0.192980E-02   0.105185E+04
   0.196878E-02   0.107050E+04
   0.200855E-02   0.108943E+04
   0.204913E-02   0.110864E+04
   0.209052E-02   0.112814E+04
   0.213276E-02   0.114791E+04
   0.217584E-02   0.116798E+04
   0.221979E-02   0.118832E+04
   0.226464E-02   0.120896E+04
   0.231039E-02   0.122989E+04
   0.235706E-02   0.125110E+04
   0.240467E-02   0.127261E+04
   0.245325E-02   0.129441E+04
   0.250281E-02   0.131650E+04
   0.255337E-02   0.133888E+04
   0.260495E-02   0.136156E+04
   0.265758E-02   0.138453E+04
   0.271126E-02   0.140780E+04
   0.276603E-02   0.143136E+04
   0.282191E-02   0.145521E+04
   0.287892E-02   0.147935E+04
   0.293708E-02   0.150379E+04
   0.299641E-02   0.152852E+04
   0.305694E-02   0.155355E+04
   0.311870E-02   0.157886E+04
   0.318170E-02   0.160445E+04
   0.324597E-02   0.163034E+04
   0.331155E-02   0.165650E+04
   0.337844E-02   0.168295E+04
   0.344669E-02   0.170967E+04
   0.351632E-02   0.173667E+04
   0.358735E-02   0.176394E+04
   0.365982E-02   0.179148E+04
   0.373376E-02   0.181929E+04
   0.380918E-02   0.184735E+04
   0.388613E-02   0.187568E+04
   0.396464E-02   0.190425E+04
   0.404473E-02   0.193307E+04
   0.412644E-02   0.196214E+04
   0.420980E-02   0.199144E+04
   0.429484E-02   0.202097E+04
   0.438160E-02   0.205072E+04
   0.447012E-02   0.208068E+04
   0.456042E-02   0.211086E+04
   0.465255E-02   0.214124E+04
   0.474653E-02   0.217180E+04
   0.484242E-02   0.220256E+04
   0.494024E-02   0.223348E+04
   0.504004E-02   0.226457E+04
   0.514186E-02   0.229582E+04
   0.524573E-02   0.232720E+04
   0.535170E-02   0.235873E+04
   0.545981E-02   0.239037E+04
   0.557011E-02   0.242211E+04
   0.568263E-02   0.245397E+04
   0.579743E-02   0.248596E+04
   0.591455E-02   0.251799E+04
   0.603403E-02   0.255002E+04
   0.615592E-02   0.258210E+04
   0.628028E-02   0.261421E+04
   0.640715E-02   0.264632E+04
   0.653658E-02   0.267842E+04
   0.666863E-02   0.271048E+04
   0.680335E-02   0.274250E+04
   0.694078E-02   0.277446E+04
   0.708100E-02   0.280633E+04
   0.722404E-02   0.283805E+04
   0.736998E-02   0.286963E+04
   0.751886E-02   0.290109E+04
   0.767075E-02   0.293240E+04
   0.782571E-02   0.296350E+04
   0.798380E-02   0.299439E+04
   0.814509E-02   0.302503E+04
   0.830963E-02   0.305540E+04
   0.847750E-02   0.308548E+04
   0.864875E-02   0.311523E+04
   0.882347E-02   0.314465E+04
   0.900171E-02   0.317370E+04
   0.918356E-02   0.320233E+04
   0.936908E-02   0.323052E+04
   0.955835E-02   0.325824E+04
   0.975144E-02   0.328547E+04
   0.994843E-02   0.331216E+04
   0.101494E-01   0.333830E+04
   0.103544E-01   0.336383E+04
   0.105636E-01   0.338873E+04
   0.107770E-01   0.341297E+04
   0.109947E-01   0.343650E+04
   0.112168E-01   0.345930E+04
   0.114434E-01   0.348133E+04
   0.116746E-01   0.350254E+04
   0.119104E-01   0.352290E+04
   0.121510E-01   0.354237E+04
   0.123965E-01   0.356092E+04
   0.126469E-01   0.357851E+04
   0.129024E-01   0.359508E+04
