#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742832E-04   0.754873E+07   0.754873E+07   0.997245E+07   0.997208E+07   0.755202E+07   0.754874E+07   0.754873E+07   0.755708E+07  -0.593744E+00   0.730801E+07   0.730801E+07   0.128489E+00
   0.103671E-03   0.754835E+07   0.754835E+07   0.988502E+07   0.988430E+07   0.755025E+07   0.754836E+07   0.754835E+07   0.755663E+07  -0.593707E+00   0.730765E+07   0.730765E+07   0.179228E+00
   0.144684E-03   0.754763E+07   0.754762E+07   0.971678E+07   0.971542E+07   0.754681E+07   0.754762E+07   0.754763E+07   0.755575E+07  -0.593635E+00   0.730694E+07   0.730694E+07   0.249882E+00
   0.201923E-03   0.754622E+07   0.754622E+07   0.939681E+07   0.939428E+07   0.754013E+07   0.754619E+07   0.754622E+07   0.755405E+07  -0.593495E+00   0.730558E+07   0.730558E+07   0.348061E+00
   0.281806E-03   0.754350E+07   0.754349E+07   0.880193E+07   0.879741E+07   0.752717E+07   0.754343E+07   0.754349E+07   0.755079E+07  -0.593226E+00   0.730295E+07   0.730295E+07   0.483950E+00
   0.393291E-03   0.753826E+07   0.753824E+07   0.774430E+07   0.773693E+07   0.750219E+07   0.753811E+07   0.753826E+07   0.754458E+07  -0.592714E+00   0.729787E+07   0.729787E+07   0.670654E+00
   0.548882E-03   0.752832E+07   0.752829E+07   0.602408E+07   0.601416E+07   0.745443E+07   0.752800E+07   0.752832E+07   0.753304E+07  -0.591761E+00   0.728820E+07   0.728819E+07   0.923874E+00
   0.766027E-03   0.750984E+07   0.750978E+07   0.368905E+07   0.368083E+07   0.736470E+07   0.750922E+07   0.750983E+07   0.751231E+07  -0.590050E+00   0.727011E+07   0.727011E+07   0.126031E+01
   0.106908E-02   0.747669E+07   0.747656E+07   0.153007E+07   0.153096E+07   0.720137E+07   0.747551E+07   0.747667E+07   0.747679E+07  -0.587133E+00   0.723744E+07   0.723743E+07   0.169592E+01
   0.149202E-02   0.742007E+07   0.741982E+07   0.691570E+06   0.694339E+06   0.692091E+07   0.741793E+07   0.742003E+07   0.741851E+07  -0.582429E+00   0.718142E+07   0.718141E+07   0.225024E+01
   0.208228E-02   0.732839E+07   0.732791E+07   0.406715E+06   0.403271E+06   0.648792E+07   0.732478E+07   0.732832E+07   0.732512E+07  -0.575046E+00   0.709106E+07   0.709104E+07   0.295743E+01
   0.290605E-02   0.718649E+07   0.718557E+07   0.185526E+06   0.185524E+06   0.590643E+07   0.718096E+07   0.718635E+07   0.718111E+07  -0.563714E+00   0.695202E+07   0.695198E+07   0.386041E+01
   0.405572E-02   0.697642E+07   0.697466E+07   0.924352E+05   0.924346E+05   0.522240E+07   0.696876E+07   0.697615E+07   0.696884E+07  -0.547036E+00   0.674701E+07   0.674695E+07   0.500767E+01
   0.419319E-02   0.695094E+07   0.694906E+07   0.861539E+05   0.861533E+05   0.514926E+07   0.694306E+07   0.695064E+07   0.694313E+07  -0.545017E+00   0.672219E+07   0.672213E+07   0.513786E+01
   0.433532E-02   0.692456E+07   0.692256E+07   0.802879E+05   0.802873E+05   0.507528E+07   0.691646E+07   0.692425E+07   0.691653E+07  -0.542928E+00   0.669650E+07   0.669644E+07   0.527106E+01
   0.448227E-02   0.689728E+07   0.689515E+07   0.748102E+05   0.748097E+05   0.500043E+07   0.688896E+07   0.689695E+07   0.688902E+07  -0.540768E+00   0.666993E+07   0.666987E+07   0.540733E+01
   0.463419E-02   0.686907E+07   0.686679E+07   0.696956E+05   0.696951E+05   0.492469E+07   0.686052E+07   0.686871E+07   0.686058E+07  -0.538535E+00   0.664247E+07   0.664240E+07   0.554670E+01
   0.479127E-02   0.683991E+07   0.683748E+07   0.649204E+05   0.649199E+05   0.484806E+07   0.683114E+07   0.683953E+07   0.683119E+07  -0.536227E+00   0.661409E+07   0.661401E+07   0.568923E+01
   0.495367E-02   0.680978E+07   0.680720E+07   0.604625E+05   0.604621E+05   0.477060E+07   0.680079E+07   0.680938E+07   0.680084E+07  -0.533843E+00   0.658477E+07   0.658469E+07   0.583496E+01
   0.512158E-02   0.677867E+07   0.677591E+07   0.563014E+05   0.563010E+05   0.469230E+07   0.676945E+07   0.677824E+07   0.676950E+07  -0.531382E+00   0.655450E+07   0.655442E+07   0.598392E+01
   0.529517E-02   0.674655E+07   0.674361E+07   0.524176E+05   0.524173E+05   0.461316E+07   0.673710E+07   0.674609E+07   0.673714E+07  -0.528842E+00   0.652326E+07   0.652317E+07   0.613616E+01
   0.547465E-02   0.671340E+07   0.671027E+07   0.487931E+05   0.487928E+05   0.453317E+07   0.670373E+07   0.671291E+07   0.670377E+07  -0.526222E+00   0.649102E+07   0.649093E+07   0.629168E+01
   0.566022E-02   0.667921E+07   0.667588E+07   0.454109E+05   0.454106E+05   0.445231E+07   0.666931E+07   0.667868E+07   0.666934E+07  -0.523519E+00   0.645778E+07   0.645767E+07   0.645053E+01
   0.585207E-02   0.664414E+07   0.664059E+07   0.422556E+05   0.422553E+05   0.435503E+07   0.663394E+07   0.664358E+07   0.663398E+07  -0.520742E+00   0.642364E+07   0.642353E+07   0.661274E+01
   0.605043E-02   0.660780E+07   0.660402E+07   0.393114E+05   0.393111E+05   0.426988E+07   0.659736E+07   0.660721E+07   0.659739E+07  -0.517870E+00   0.638831E+07   0.638819E+07   0.677829E+01
